year,month,target,ldaps13_wind50_spearman,gfs1_wind850_spearman,rows
2023,6,kpx_group_1,0.7650749292018618,0.7301122089887276,720
2023,6,kpx_group_2,0.7594890998812404,0.7600598823760824,720
2023,6,kpx_group_3,0.7757927234887697,0.7296668484824959,720
2023,7,kpx_group_1,0.8082036890811342,0.8369589676277893,741
2023,7,kpx_group_2,0.8206656674925549,0.8612938084278341,742
2023,7,kpx_group_3,0.8367188710390019,0.8500260647069127,744
2023,8,kpx_group_1,0.7382734264286785,0.7867810454372901,744
2023,8,kpx_group_2,0.7544927658670052,0.8180453353417927,744
2023,8,kpx_group_3,0.7776663443116693,0.8005244544231808,744
2023,9,kpx_group_1,0.6233084594455721,0.7329380818890876,720
2023,9,kpx_group_2,0.6275213888160931,0.7639941445040233,720
2023,9,kpx_group_3,0.6712827690133141,0.7529541750162528,720
2023,10,kpx_group_1,0.7981783419271312,0.7860572519710839,744
2023,10,kpx_group_2,0.7938634654824568,0.7964694699606121,744
2023,10,kpx_group_3,0.7809700859547171,0.776912611802394,744
2023,11,kpx_group_1,0.7262524390858528,0.6214137110597178,720
2023,11,kpx_group_2,0.7704966679526254,0.7174519640577807,720
2023,11,kpx_group_3,0.6865245757518494,0.633244737802006,720
2023,12,kpx_group_1,0.6903768324789993,0.5978100123845288,744
2023,12,kpx_group_2,0.6998793201903957,0.6674575965062197,744
2023,12,kpx_group_3,0.7540909615908876,0.7071803460031644,744
2024,1,kpx_group_1,0.6006788334800216,0.5479248142409593,744
2024,1,kpx_group_2,0.684714667080925,0.623143214591401,744
2024,1,kpx_group_3,0.7698057345542391,0.6524711876379594,744
2024,2,kpx_group_1,0.7580088818094346,0.7128068262254275,696
2024,2,kpx_group_2,0.763647891496659,0.7118289680505602,696
2024,2,kpx_group_3,0.8362395290229881,0.7648165408826164,696
2024,3,kpx_group_1,0.802933723509515,0.8249237419703583,744
2024,3,kpx_group_2,0.7713261498336906,0.789635962237714,744
2024,3,kpx_group_3,0.8219783184122885,0.8310948526994888,744
2024,4,kpx_group_1,0.7037068891281889,0.6891027672291714,720
2024,4,kpx_group_2,0.702001175716846,0.7058811490280211,720
2024,4,kpx_group_3,0.7378489510235582,0.6807085661236663,720
2024,5,kpx_group_1,0.7912828909724836,0.7572313047669427,744
2024,5,kpx_group_2,0.8064000453309389,0.7971383810463599,744
2024,5,kpx_group_3,0.8193592111851505,0.7864114394725167,744
2024,6,kpx_group_1,0.7833220512631893,0.7828158431145237,720
2024,6,kpx_group_2,0.7816560686799907,0.7969365269427099,720
2024,6,kpx_group_3,0.8005057234443835,0.7865487102632281,720
2024,7,kpx_group_1,0.794660759939912,0.7694985145792165,738
2024,7,kpx_group_2,0.8003722115216984,0.8224505229333567,738
2024,7,kpx_group_3,0.8196708299190264,0.8237290800116007,738
2024,8,kpx_group_1,0.6014625980722229,0.736766715632218,744
2024,8,kpx_group_2,0.616213326957293,0.7549664207711415,744
2024,8,kpx_group_3,0.6840318666094125,0.7696949621485111,744
2024,9,kpx_group_1,0.6832922879391827,0.7115882843706767,720
2024,9,kpx_group_2,0.705401351201697,0.7480437246318914,720
2024,9,kpx_group_3,0.725049455463931,0.7294302050375516,720
2024,10,kpx_group_1,0.680023329912513,0.7348341766767263,744
2024,10,kpx_group_2,0.6805727054418461,0.7570627367864626,744
2024,10,kpx_group_3,0.6980593887004019,0.7327420630825286,744
2024,11,kpx_group_1,0.7632052374055113,0.7685891458121541,720
2024,11,kpx_group_2,0.751270393583416,0.7661359212385024,720
2024,11,kpx_group_3,0.776192421944363,0.7714031307845138,720
2024,12,kpx_group_1,0.6366276580546257,0.6089826152558697,744
2024,12,kpx_group_2,0.6082894642847995,0.5882172677705862,744
2024,12,kpx_group_3,0.7056122776426023,0.7277583691436555,744
2025,1,kpx_group_1,,,1
2025,1,kpx_group_2,,,1
2025,1,kpx_group_3,,,1
