experiment,seed,score,one_minus_nmae,avg_nmae,ficr,worst_month,high_generation_score,eligible_hours,feature_count,baseline_score,baseline_ficr,baseline_avg_nmae,delta_score_vs_baseline,delta_ficr_vs_baseline,delta_nmae_vs_baseline
lead_interactions,42,0.6110406145228306,0.8697368151544581,0.1302631848455419,0.3523444138912033,0.5806730126271178,0.5989339644607764,14531,296,0.6117673564727266,0.3535060358165638,0.12997132287111068,-0.0007267419498959704,-0.001161621925360512,0.00029186197443120676
issue_cycle,42,0.6075914542151437,0.8688432981467484,0.13115670185325154,0.34633961028353893,0.5801100423897341,0.5950632555327172,14531,302,0.6117673564727266,0.3535060358165638,0.12997132287111068,-0.0041759022575829086,-0.007166425533024878,0.0011853789821408556
forecast_safe_ramp,42,0.6092860182613348,0.8696178075046668,0.1303821924953332,0.34895422901800277,0.5785690284144972,0.5961616449327772,14531,290,0.6117673564727266,0.3535060358165638,0.12997132287111068,-0.002481338211391848,-0.004551806798561042,0.00041086962422251516
source_disagreement,42,0.6100266526915368,0.8692610660484587,0.13073893395154132,0.35079223933461495,0.5835378504714376,0.5980749687654375,14531,289,0.6117673564727266,0.3535060358165638,0.12997132287111068,-0.0017407037811898451,-0.0027137964819488603,0.0007676110804306358
all_forecast_time_features,42,0.6054309134167715,0.8682155812223463,0.1317844187776537,0.34264624561119666,0.5791933229237557,0.5931829002581019,14531,319,0.6117673564727266,0.3535060358165638,0.12997132287111068,-0.006336443055955154,-0.010859790205367148,0.0018130959065430219
all_plus_2025_lead_month_weight,42,0.6030516604439984,0.8673448925481689,0.1326551074518311,0.3387584283398277,0.5540151010349637,0.5889553125557232,14531,319,0.6117673564727266,0.3535060358165638,0.12997132287111068,-0.008715696028728237,-0.014747607476736091,0.002683784580720411
B1_aggregate,77,0.6102715715699816,0.8702604588004844,0.12973954119951556,0.3502826843394788,0.5628607937584011,0.5975645475788283,14531,286,0.6102715715699816,0.3502826843394788,0.12973954119951556,0.0,0.0,0.0
lead_basic,77,0.6116209090800281,0.8697869481490588,0.13021305185094117,0.35345487001099735,0.578161270020829,0.5998620340750398,14531,291,0.6102715715699816,0.3502826843394788,0.12973954119951556,0.001349337510046511,0.003172185671518557,0.0004735106514256182
lead_interactions,77,0.6099354620907221,0.8697456829638456,0.1302543170361544,0.35012524121759875,0.5660861208401556,0.5962397694970583,14531,296,0.6102715715699816,0.3502826843394788,0.12973954119951556,-0.0003361094792594388,-0.00015744312188004095,0.0005147758366388366
issue_cycle,77,0.6065292971735816,0.868382111203991,0.13161788879600902,0.3446764831431723,0.5707916353701569,0.5950698848770363,14531,302,0.6102715715699816,0.3502826843394788,0.12973954119951556,-0.0037422743963999583,-0.005606201196306504,0.0018783475964934682
forecast_safe_ramp,77,0.6084926735975228,0.8692577987044531,0.13074220129554695,0.34772754849059256,0.5709500653878823,0.5959027223425626,14531,290,0.6102715715699816,0.3502826843394788,0.12973954119951556,-0.0017788979724587817,-0.0025551358488862252,0.0010026600960313936
source_disagreement,77,0.6104258939701313,0.8697718964607093,0.13022810353929068,0.35107989147955315,0.5833718631328223,0.5985758685473197,14531,289,0.6102715715699816,0.3502826843394788,0.12973954119951556,0.0001543224001496757,0.000797207140074363,0.0004885623397751226
all_forecast_time_features,77,0.6061308784453399,0.8680137775721931,0.13198622242780686,0.34424797931848666,0.5709181174116486,0.5933372233489242,14531,319,0.6102715715699816,0.3502826843394788,0.12973954119951556,-0.0041406931246417145,-0.006034705020992126,0.002246681228291303
all_plus_2025_lead_month_weight,77,0.6060979167318148,0.8680993779940882,0.1319006220059118,0.3440964554695414,0.569800380148794,0.592812569684723,14531,319,0.6102715715699816,0.3502826843394788,0.12973954119951556,-0.004173654838166785,-0.006186228869937416,0.0021610808063962372
