source,column,description,family,height_or_level,component,recommended_transform,eda_model_policy,dtype_train,train_missing_rate,test_missing_rate,train_nunique,test_nunique,train_test_parity,train_min,train_p01,train_p50,train_p99,train_max,test_min,test_p50,test_max,mean_shift_z,derived_feature_link,max_label_spearman_corr
ldaps,surface_0_NDNLW,지표면 순 하향 장파복사,radiation,,,raw,candidate_feature,float64,0.0,0.0,410834,138594,True,-179.58722,-146.54041329999998,-71.69842,0.4460421761999939,18.440361,-163.02718,-72.541365,11.947685,-0.02344334614022967,,
ldaps,heightAboveGround_2_SWDIR,지상 2 m 직접 단파복사,radiation,,,raw,candidate_feature,float64,0.0,0.0,81644,43132,True,0.0,0.0,0.0,839.1719,946.0156,0.0,0.0,949.90625,0.027356132163875554,,
ldaps,heightAboveGround_2_SWDIF,지상 2 m 산란 단파복사,radiation,,,raw,candidate_feature,float64,0.0,0.0,211026,72505,True,0.0,0.0,6.4873047,346.086262,541.08984,0.0,6.5253906,526.9885,-0.001803156853821687,,
ldaps,etc_0_hcc,상층운량,cloud,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,28768,19037,True,0.0,0.0,0.007965088,1.0,1.0000072,0.0,0.0,1.0000055,-0.04746168768267085,,
ldaps,etc_0_mcc,중층운량,cloud,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,30696,19296,True,0.0,0.0,0.0,1.0,1.0000057,0.0,0.0,1.0,-0.02964736906385488,,
ldaps,etc_0_lcc,하층운량,cloud,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,32293,26264,True,0.0,0.0,0.020111084,1.0,1.0000029,0.0,0.024841309,1.0,-0.003370576822007944,,
ldaps,etc_0_VLCDC,매우 낮은 층 운량,cloud,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,30785,20670,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.006651706806651272,,
ldaps,surface_0_avg_lsprate,지표면 평균 대규모 강수율,pressure,,,raw,candidate_feature,float64,0.0,0.0,11849,5716,True,0.0,0.0,0.0,0.0012184953529999977,0.024531364,0.0,0.0,0.008272648,-0.040621656452823625,,
ldaps,surface_0_lssrate,지표면 대규모 강설률,precipitation_snow,,,raw,candidate_feature,float64,0.0,0.0,11070,5076,True,0.0,0.0,0.0,0.00021187573599999986,0.0015860796,0.0,0.0,0.001539588,0.03160916612915267,,
ldaps,surface_0_ncpcp,지표면 비대류성 강수량,precipitation_snow,,,raw,candidate_feature,float64,0.0,0.0,11696,5559,True,0.0,0.0,0.0,4.384150341999995,88.31055,0.0,0.0,29.779297,-0.040533224031450196,,
ldaps,surface_0_snol,지표면 적설 관련 변수,precipitation_snow,,,raw,candidate_feature,float64,0.0,0.0,11089,5043,True,0.0,0.0,0.0,0.7616418584999994,5.7109375,0.0,0.0,5.543701,0.03179611061450301,,
ldaps,surface_0_SNOM,지표면 융설량,precipitation_snow,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,12443,5854,True,-2.36061e-18,-1.602929e-23,0.0,0.34585449179999883,6.6069336,-2.1625944e-18,0.0,4.6141357,0.02592914253369782,,
ldaps,surface_0_lsm,육지/해양 마스크,static_or_geopotential,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
ldaps,surface_0_h,지표면 고도,static_or_geopotential,,,raw,candidate_feature,float64,0.0,0.00034246575342465754,16,16,True,868.8125,868.8125,946.59375,1001.25,1001.25,868.8125,946.59375,1001.25,0.0,,
gfs,forecast_kst_dtm,예측 대상 시각입니다.,time_contract,,,raw,join_or_time_feature_only,str,0.0,0.0,26304,8760,True,,,,,,,,,,,
gfs,data_available_kst_dtm,예보 데이터 사용 가능 시각,time_contract,,,raw,join_or_time_feature_only,str,0.0,0.0,1096,365,True,,,,,,,,,,,
gfs,grid_id,GFS 격자 ID,spatial_contract,,,raw,spatial_feature_or_join_key,int64,0.0,0.0,9,9,True,1.0,1.0,5.0,9.0,9.0,1.0,5.0,9.0,0.0,,
gfs,latitude,격자 위도,spatial_contract,,,raw,spatial_feature_or_join_key,float64,0.0,0.0,3,3,True,37.0,37.0,37.25,37.5,37.5,37.0,37.25,37.5,0.0,,
gfs,longitude,격자 경도,spatial_contract,,,raw,spatial_feature_or_join_key,float64,0.0,0.0,3,3,True,128.75,128.75,129.0,129.25,129.25,128.75,129.0,129.25,0.0,,
gfs,heightAboveGround_10_10u,지상 10 m U 성분 바람,wind_vector,10m,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,227517,77186,True,-17.183594,-3.734727675,1.2469161500000001,7.710375154999997,17.827602,-11.45808,1.5181433,20.35683,0.12598408384261883,wind10_speed,0.7221186121947312
gfs,heightAboveGround_10_10v,지상 10 m V 성분 바람,wind_vector,10m,v/y,speed_direction_required,candidate_feature,float64,0.0,0.0,223114,76502,True,-24.243887,-5.241041135000001,0.315628665,4.699673439999997,15.46408,-14.282737,0.41764039,12.810869,0.05766097568772554,wind10_speed,0.7221186121947312
gfs,heightAboveGround_80_u,지상 80 m U 성분 바람,wind_vector,80m,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,228589,77187,True,-21.81385,-4.8991803,1.7102304,12.374915099999997,25.659668,-13.479356,2.14595575,26.485977,0.1373859765144987,wind80_speed,0.7453325915104193
gfs,heightAboveGround_80_v,지상 80 m V 성분 바람,wind_vector,80m,v/y,speed_direction_required,candidate_feature,float64,0.0,0.0,225464,76812,True,-30.727304,-6.53508714,0.354571225,6.840168199999997,19.62365,-17.039068,0.47271972500000004,16.00849,0.05119340912784634,wind80_speed,0.7453325915104193
gfs,heightAboveGround_100_100u,지상 100 m U 성분 바람,metadata,10m,,raw,candidate_feature,float64,0.0,0.0,228467,77236,True,-22.420181,-5.054291505,1.7616223,13.03734894999999,27.14945,-13.797676,2.22467885,27.09684,0.13849032895941962,wind100_speed,0.7490288085246858
gfs,heightAboveGround_100_100v,지상 100 m V 성분 바람,metadata,10m,,raw,candidate_feature,float64,0.0,0.0,225361,76820,True,-31.509785,-6.7056519,0.35614135999999996,7.138869539999998,20.112705,-17.248701,0.47365479,16.416443,0.05016323089816407,wind100_speed,0.7490288085246858
gfs,heightAboveGround_2_2t,지상 2 m 기온,temperature_dewpoint,,,raw,candidate_feature,float64,0.0,0.0,187091,68826,True,251.10165,260.7661435,284.39356,302.562325,308.4,254.37704,284.42359999999996,309.39804,0.002119963346891259,,
gfs,heightAboveGround_2_2d,지상 2 m 이슬점온도,temperature_dewpoint,,,raw,candidate_feature,float64,0.0,0.0,142555,53800,True,243.31473,251.5258005,278.521955,295.8,298.7771,244.29988,278.27054999999996,298.3039,0.0046475138406121925,,
gfs,heightAboveGround_2_2r,지상 2 m 상대습도,metadata,,,raw,candidate_feature,float64,0.0,0.0,879,860,True,11.4,22.9,73.0,99.5,100.0,12.4,73.4,100.0,0.002591327917992969,,
gfs,heightAboveGround_2_2sh,지상 2 m 비습,humidity,,,raw,candidate_feature,float64,0.0,0.0,230598,77997,True,0.00034117704,0.000719032291,0.0058644322,0.01790336175,0.020928776,0.00038154106,0.00574650675,0.02098724,0.01985099685273167,,
gfs,planetaryBoundaryLayer_0_u,행성경계층 U 성분 바람,wind_vector,,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,199989,69089,True,-28.42416,-6.2163450650000005,1.41985815,19.94604475,40.64356,-18.947662,1.8164597,33.08091,0.12661775092629007,,
gfs,planetaryBoundaryLayer_0_v,행성경계층 V 성분 바람,wind_vector,,v/y,speed_direction_required,candidate_feature,float64,0.0,0.0,192551,67102,True,-35.50895,-8.2279064,0.21619415,9.79329755,29.517832,-17.536785,0.31846314,23.833246,0.021089156294322783,,
gfs,planetaryBoundaryLayer_0_VRATE,행성경계층 수직 속도,wind_or_motion,,,raw,candidate_feature,float64,0.0,0.0,870,610,True,0.0,0.0,1000.0,31000.0,80000.0,0.0,1000.0,92000.0,0.07719519094448334,,
gfs,surface_0_dswrf,지표면 하향 단파복사 플럭스,radiation,,,raw,candidate_feature,float64,0.0,0.0,57673,31425,True,0.0,0.0,41.0,868.68,938.32,0.0,43.174,932.72,0.004829168736567583,,
gfs,surface_0_dlwrf,지표면 하향 장파복사 플럭스,radiation,,,raw,candidate_feature,float64,0.0,0.0,166325,60038,True,128.26337,164.048624,303.9,426.2699475,447.8611,143.02937,307.1,453.86545,0.008915094540781252,,
gfs,surface_0_prate,지표면 강수율,precipitation_snow,,,raw,candidate_feature,float64,0.0,0.0,5743,3134,True,0.0,0.0,0.0,0.0008293199999999954,0.0091256,0.0,0.0,0.0105468,-0.031319404486937055,,
gfs,surface_0_tp,지표면 총강수량,temperature_dewpoint,,,raw,candidate_feature,float64,0.0,0.0,1581,937,True,0.0,0.0,0.0,39.75,228.625,0.0,0.0,98.375,-0.05342286912583486,,
gfs,surface_0_sp,지표면 기압,pressure,,,raw,candidate_feature,float64,0.0,0.0,204786,75097,True,90569.836,91841.89075,94948.45999999999,102407.33685,103344.33,90586.336,94852.015,103071.56,-0.022706103068745428,,
gfs,meanSea_0_prmsl,해면기압,pressure,,,raw,candidate_feature,float64,0.0,0.0,165322,69308,True,98440.04,99981.6294,101659.535,103234.3339,103858.49,99139.05,101544.15,103296.336,-0.08023835601692166,,
gfs,surface_0_gust,지표면 돌풍,wind_or_motion,,,raw,candidate_feature,float64,0.0,0.0,168893,61000,True,0.018209688,0.50067747,2.9072266,17.92544434999998,30.510489,0.20016384,3.21352435,27.201847,0.089917852723209,,
gfs,lowCloudLayer_0_lcc,하층운량,cloud,,,raw,candidate_feature,float64,0.0,0.0,1001,1001,True,0.0,0.0,2.1,100.0,100.0,0.0,2.3,100.0,-0.0029342030134498587,,
gfs,middleCloudLayer_0_mcc,중층운량,cloud,,,raw,candidate_feature,float64,0.0,0.0,1001,1001,True,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,-0.017322879916725684,,
gfs,highCloudLayer_0_hcc,상층운량,cloud,,,raw,candidate_feature,float64,0.0,0.0,1001,1001,True,0.0,0.0,5.5,100.0,100.0,0.0,5.0,100.0,-0.019056984669684907,,
gfs,atmosphere_0_tcc,전운량,temperature_dewpoint,,,raw,candidate_feature,float64,0.0,0.0,1001,1001,True,0.0,0.0,70.1,100.0,100.0,0.0,73.1,100.0,0.014242541504172519,,
gfs,isobaricInhPa_850_t,850 hPa 기온,temperature_dewpoint,50m,,raw,candidate_feature,float64,0.0,0.0,206893,74602,True,247.10553,256.92008899999996,280.13284,294.9263545,297.82675,249.67082,279.6026,299.31308,-0.011395311901748233,,
gfs,isobaricInhPa_850_u,850 hPa U 성분 바람,wind_vector,50m,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,228857,77158,True,-29.702671,-10.051829099999999,4.08651135,23.505716799999988,46.64678,-22.395147,5.29201795,37.307537,0.12193803471821131,wind850_speed,0.8123829516584613
gfs,isobaricInhPa_850_v,850 hPa V 성분 바람,wind_vector,50m,v/y,speed_direction_required,candidate_feature,float64,0.0,0.0,227641,76992,True,-40.439484,-11.4434214,-0.48073730000000003,13.898325999999992,35.66771,-20.690973,-0.283421635,29.321352,0.0038325378682467024,wind850_speed,0.8123829516584613
gfs,isobaricInhPa_850_r,850 hPa 상대습도,humidity,50m,,raw,candidate_feature,float64,0.0,0.0,986,977,True,1.5,6.3,62.7,99.9,100.0,2.1,63.4,100.0,0.03939910015176718,,
gfs,isobaricInhPa_700_t,700 hPa 기온,temperature_dewpoint,700hPa,,raw,candidate_feature,float64,0.0,0.0,202993,73437,True,242.83926,251.62590649999999,272.741535,286.528647,290.17392,242.21121,272.026505,289.10056,-0.03121255434023555,,
gfs,isobaricInhPa_700_u,700 hPa U 성분 바람,wind_vector,700hPa,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,229222,77151,True,-27.79229,-6.1249586,8.229054000000001,30.0537212,44.007008,-16.867195,9.095457249999999,41.755642,0.12008832619856656,wind700_speed,0.5233521658816831
gfs,isobaricInhPa_700_v,700 hPa V 성분 바람,wind_vector,700hPa,v/y,speed_direction_required,candidate_feature,float64,0.0,0.0,227970,76688,True,-29.96846,-16.9628495,-1.34565155,16.598229649999997,39.108986,-23.90256,-1.2245178,38.12293,-0.020234332556828254,wind700_speed,0.5233521658816831
gfs,isobaricInhPa_500_gh,500 hPa 지위고도,static_or_geopotential,50m,,raw,candidate_feature,float64,0.0,0.0,206326,75007,True,5048.8926,5275.812605,5680.816,5919.143575,5973.196,5126.276,5660.05565,5940.275,-0.05950143944934106,,
gfs,isobaricInhPa_500_t,500 hPa 기온,temperature_dewpoint,50m,,raw,candidate_feature,float64,0.0,0.0,194697,71085,True,229.76521,239.3191515,257.19757000000004,272.33195800000004,275.67087,233.13205,256.41743,274.05,-0.026991363609685334,,
gfs,isobaricInhPa_500_u,500 hPa U 성분 바람,wind_vector,50m,u/x,speed_direction_required,candidate_feature,float64,0.0,0.0,220608,74010,True,-23.023571,-4.408239340000001,16.2444575,46.46323954999999,71.96049,-16.636639,17.3271805,60.581413,0.07814515308878665,wind500_speed,0.3233129884623984
gfs,isobaricInhPa_500_v,500 hPa V 성분 바람,wind_vector,50m,v/y,speed_direction_required,candidate_feature,float64,0.0,0.0,217507,72789,True,-40.966904,-23.758686500000003,-0.722854,19.59154874999995,39.756546,-36.321423,-0.668149425,48.900127,0.02499345809979414,wind500_speed,0.3233129884623984
