target,grid_id,dir_sector,rows,spearman_corr
kpx_group_2,3,225-270,744,0.49983518054357357
kpx_group_2,3,270-315,298,0.4165087464563015
kpx_group_2,3,315-360,4698,0.7313874359205197
kpx_group_3,3,0-45,8417,0.7155554230593265
kpx_group_3,3,45-90,966,0.7387100051396213
kpx_group_3,3,90-135,1103,0.3741195286081711
kpx_group_3,3,135-180,1187,0.3428334865420161
kpx_group_3,3,180-225,2110,0.4921010403128534
kpx_group_3,3,225-270,570,0.5431796573446306
kpx_group_3,3,270-315,199,0.4082976009851711
kpx_group_3,3,315-360,2986,0.7272707438166651
kpx_group_1,4,0-45,14460,0.49111784802157066
kpx_group_1,4,45-90,2343,0.6249998354078137
kpx_group_1,4,90-135,1195,0.4408873569889837
kpx_group_1,4,135-180,1858,0.41172441053093356
kpx_group_1,4,180-225,3375,0.48355976384948407
kpx_group_1,4,225-270,786,0.4943285945987232
kpx_group_1,4,270-315,314,0.49553868577045346
kpx_group_1,4,315-360,1869,0.7461390274862968
kpx_group_2,4,0-45,14460,0.5192047279776899
kpx_group_2,4,45-90,2343,0.6536574148308758
kpx_group_2,4,90-135,1195,0.45292287637311274
kpx_group_2,4,135-180,1858,0.3850905274157099
kpx_group_2,4,180-225,3375,0.47086130819438404
kpx_group_2,4,225-270,786,0.5144135976764568
kpx_group_2,4,270-315,314,0.4663830878257327
kpx_group_2,4,315-360,1870,0.7254875567937992
kpx_group_3,4,0-45,9475,0.5636009627629593
kpx_group_3,4,45-90,1676,0.6711652094260105
kpx_group_3,4,90-135,750,0.401604085050635
kpx_group_3,4,135-180,1219,0.38086860070558354
kpx_group_3,4,180-225,2455,0.5323354250272206
kpx_group_3,4,225-270,560,0.5532193442715412
kpx_group_3,4,270-315,211,0.4662509604643795
kpx_group_3,4,315-360,1192,0.7501397794692543
kpx_group_1,5,0-45,14920,0.5927356240917547
kpx_group_1,5,45-90,1730,0.71064772291272
kpx_group_1,5,90-135,1278,0.48928641082606783
kpx_group_1,5,135-180,1727,0.45600278055019305
kpx_group_1,5,180-225,3388,0.49928742001148
kpx_group_1,5,225-270,825,0.4849301254732988
kpx_group_1,5,270-315,343,0.5274314549131369
kpx_group_1,5,315-360,1989,0.7509057406067657
kpx_group_2,5,0-45,14919,0.6155961501139406
kpx_group_2,5,45-90,1730,0.7305649795457487
kpx_group_2,5,90-135,1278,0.49682941939347436
kpx_group_2,5,135-180,1727,0.4302633753000979
kpx_group_2,5,180-225,3388,0.490996965161721
kpx_group_2,5,225-270,825,0.5048774237472035
kpx_group_2,5,270-315,343,0.5060753322689957
kpx_group_2,5,315-360,1991,0.7394108448423236
kpx_group_3,5,0-45,9805,0.6508327159159507
kpx_group_3,5,45-90,1241,0.7548829000690868
kpx_group_3,5,90-135,814,0.43735976166812274
kpx_group_3,5,135-180,1118,0.4042896623113011
kpx_group_3,5,180-225,2468,0.5593346996255588
kpx_group_3,5,225-270,598,0.5436150946224755
kpx_group_3,5,270-315,232,0.5108721106379706
kpx_group_3,5,315-360,1262,0.7506071996109489
kpx_group_1,6,0-45,14817,0.6871182703828876
kpx_group_1,6,45-90,1483,0.7121215275194022
kpx_group_1,6,90-135,1511,0.49932477059010455
kpx_group_1,6,135-180,1548,0.4183157378789635
kpx_group_1,6,180-225,3169,0.4695064076686773
kpx_group_1,6,225-270,877,0.47785076268160526
kpx_group_1,6,270-315,457,0.5367735608545297
kpx_group_1,6,315-360,2338,0.7673015085974646
kpx_group_2,6,0-45,14816,0.7068940774299114
kpx_group_2,6,45-90,1483,0.7342962404255685
kpx_group_2,6,90-135,1511,0.5027644294268053
kpx_group_2,6,135-180,1548,0.406389589259689
kpx_group_2,6,180-225,3169,0.47053701902073963
kpx_group_2,6,225-270,877,0.5033341001958932
kpx_group_2,6,270-315,457,0.5336090868583311
kpx_group_2,6,315-360,2340,0.7625329362643769
kpx_group_3,6,0-45,9762,0.7262970096578467
kpx_group_3,6,45-90,1068,0.7526251615901887
kpx_group_3,6,90-135,980,0.45135496231176075
kpx_group_3,6,135-180,999,0.414029573781831
kpx_group_3,6,180-225,2312,0.5608204904527829
kpx_group_3,6,225-270,648,0.549296906817035
kpx_group_3,6,270-315,297,0.5168001158877283
kpx_group_3,6,315-360,1472,0.7560105994717153
kpx_group_1,7,0-45,13516,0.7180673024422729
kpx_group_1,7,45-90,1487,0.6805581632904226
kpx_group_1,7,90-135,1667,0.4551882678968832
kpx_group_1,7,135-180,1301,0.3523925921397845
kpx_group_1,7,180-225,3081,0.39688746970482985
kpx_group_1,7,225-270,1008,0.46929989815836914
kpx_group_1,7,270-315,493,0.4904670558454189
kpx_group_1,7,315-360,3647,0.7656708983594767
kpx_group_2,7,0-45,13515,0.7366758781028763
kpx_group_2,7,45-90,1487,0.7050033798829748
kpx_group_2,7,90-135,1667,0.45501318100654026
kpx_group_2,7,135-180,1301,0.35010149496929543
kpx_group_2,7,180-225,3081,0.410416166661504
kpx_group_2,7,225-270,1008,0.494178363483761
kpx_group_2,7,270-315,493,0.48585973551378353
kpx_group_2,7,315-360,3649,0.7633682064568005
kpx_group_3,7,0-45,8916,0.7420661021187515
kpx_group_3,7,45-90,1057,0.7385115572673137
kpx_group_3,7,90-135,1092,0.41794742397890666
kpx_group_3,7,135-180,852,0.41296391345055816
kpx_group_3,7,180-225,2219,0.525794957937174
kpx_group_3,7,225-270,763,0.5327821386422101
kpx_group_3,7,270-315,330,0.49601778892779863
kpx_group_3,7,315-360,2309,0.7530250947004101
kpx_group_1,8,0-45,11166,0.7289388844000354
kpx_group_1,8,45-90,1667,0.625579253587125
kpx_group_1,8,90-135,1560,0.42860010955373473
kpx_group_1,8,135-180,931,0.31626870230192144
kpx_group_1,8,180-225,3173,0.34392503079352693
kpx_group_1,8,225-270,1357,0.45094366434923416
kpx_group_1,8,270-315,414,0.49430245945348855
kpx_group_1,8,315-360,5932,0.7600691269610169
kpx_group_2,8,0-45,11165,0.7449075157994345
kpx_group_2,8,45-90,1667,0.6483918034569945
kpx_group_2,8,90-135,1560,0.4252695903226043
kpx_group_2,8,135-180,931,0.3350884435176702
kpx_group_2,8,180-225,3173,0.36275527719084794
kpx_group_2,8,225-270,1357,0.4753632519342827
kpx_group_2,8,270-315,414,0.4862269304409459
kpx_group_2,8,315-360,5934,0.7692734434558245
kpx_group_3,8,0-45,7370,0.7411014800906012
kpx_group_3,8,45-90,1176,0.7084893297322845
kpx_group_3,8,90-135,1019,0.39698729629335994
kpx_group_3,8,135-180,620,0.3751373319491256
kpx_group_3,8,180-225,2258,0.4927479252323129
kpx_group_3,8,225-270,1021,0.5387077365202901
kpx_group_3,8,270-315,274,0.5358221898930828
kpx_group_3,8,315-360,3800,0.7632845183999575
kpx_group_1,9,0-45,14485,0.49798729686244925
kpx_group_1,9,45-90,2201,0.6264253261161461
kpx_group_1,9,90-135,1134,0.44162504970194144
kpx_group_1,9,135-180,2300,0.40297326424380453
kpx_group_1,9,180-225,3144,0.45995511380698495
kpx_group_1,9,225-270,616,0.5119725645668158
kpx_group_1,9,270-315,249,0.46721512974071505
kpx_group_1,9,315-360,2071,0.7232344480504577
kpx_group_2,9,0-45,14485,0.5238789982866444
kpx_group_2,9,45-90,2201,0.6567347872532561
kpx_group_2,9,90-135,1134,0.4441148058225944
kpx_group_2,9,135-180,2300,0.37383856192796544
kpx_group_2,9,180-225,3144,0.44947582575922146
kpx_group_2,9,225-270,616,0.5360875722695361
kpx_group_2,9,270-315,249,0.4206509554902728
kpx_group_2,9,315-360,2072,0.7053149933574447
kpx_group_3,9,0-45,9473,0.5662800331796984
kpx_group_3,9,45-90,1586,0.6741815419739082
kpx_group_3,9,90-135,732,0.40106482071172245
kpx_group_3,9,135-180,1466,0.3715578418497753
kpx_group_3,9,180-225,2342,0.5175609504311488
kpx_group_3,9,225-270,434,0.5608922875648474
kpx_group_3,9,270-315,172,0.4505766368467562
kpx_group_3,9,315-360,1333,0.7272160272887518
kpx_group_1,10,0-45,14253,0.5724947283989715
kpx_group_1,10,45-90,1508,0.7325463578225626
kpx_group_1,10,90-135,1236,0.4726988388996487
kpx_group_1,10,135-180,2062,0.45693614380841335
kpx_group_1,10,180-225,3260,0.49625607644754754
kpx_group_1,10,225-270,728,0.5252225483110848
kpx_group_1,10,270-315,302,0.5010380385512593
kpx_group_1,10,315-360,2851,0.6938759823283203
kpx_group_2,10,0-45,14253,0.5947262153222701
kpx_group_2,10,45-90,1508,0.7503532071319565
kpx_group_2,10,90-135,1236,0.4799999400800857
kpx_group_2,10,135-180,2062,0.42989474237487607
kpx_group_2,10,180-225,3260,0.4863053096847831
kpx_group_2,10,225-270,728,0.5413445367487263
kpx_group_2,10,270-315,302,0.47383836806795027
kpx_group_2,10,315-360,2852,0.6858327035135227
kpx_group_3,10,0-45,9369,0.629724368375599
kpx_group_3,10,45-90,1094,0.7741161537894214
kpx_group_3,10,90-135,795,0.4417528244902096
kpx_group_3,10,135-180,1331,0.4149541490437722
kpx_group_3,10,180-225,2397,0.5522955630209196
kpx_group_3,10,225-270,522,0.5822965386204235
kpx_group_3,10,270-315,204,0.4760872397076244
kpx_group_3,10,315-360,1826,0.7070629410684155
kpx_group_1,11,0-45,13147,0.6731837444120021
kpx_group_1,11,45-90,1310,0.7244107779709519
kpx_group_1,11,90-135,1477,0.4830764684472696
kpx_group_1,11,135-180,1624,0.42575663469875846
kpx_group_1,11,180-225,3230,0.49629019711318045
kpx_group_1,11,225-270,947,0.4912414934124389
kpx_group_1,11,270-315,369,0.5540942823758119
kpx_group_1,11,315-360,4096,0.7147099093354112
kpx_group_2,11,0-45,13146,0.6891725456988175
kpx_group_2,11,45-90,1310,0.7459910322136523
kpx_group_2,11,90-135,1477,0.4903619570506201
kpx_group_2,11,135-180,1624,0.4145213376686059
kpx_group_2,11,180-225,3230,0.49229434539645
kpx_group_2,11,225-270,947,0.5160684991047249
kpx_group_2,11,270-315,369,0.5407311689185509
kpx_group_2,11,315-360,4098,0.7178451774641362
kpx_group_3,11,0-45,8663,0.7078432098180406
kpx_group_3,11,45-90,957,0.7633794290343138
kpx_group_3,11,90-135,960,0.4548823976648469
kpx_group_3,11,135-180,1051,0.4329682032831319
kpx_group_3,11,180-225,2348,0.5735500068638287
kpx_group_3,11,225-270,696,0.5659436755843424
kpx_group_3,11,270-315,231,0.5380938385435652
kpx_group_3,11,315-360,2632,0.7275182682293367
kpx_group_1,12,0-45,11882,0.7325347601369983
kpx_group_1,12,45-90,1424,0.7058942038412017
kpx_group_1,12,90-135,1744,0.45167626609694045
kpx_group_1,12,135-180,1118,0.34787129914142156
kpx_group_1,12,180-225,3079,0.4364963982933825
kpx_group_1,12,225-270,1242,0.47214513475270975
kpx_group_1,12,270-315,471,0.5184951979644465
kpx_group_1,12,315-360,5240,0.7565705066209591
kpx_group_2,12,0-45,11881,0.7471623129357968
kpx_group_2,12,45-90,1424,0.7270242393062618
kpx_group_2,12,90-135,1744,0.4585776711292859
kpx_group_2,12,135-180,1118,0.35606013933280245
kpx_group_2,12,180-225,3079,0.4454005975610983
kpx_group_2,12,225-270,1242,0.49731922967192865
kpx_group_2,12,270-315,471,0.5169562512051555
kpx_group_2,12,315-360,5242,0.7634005151705107
kpx_group_3,12,0-45,7864,0.7502459600495184
kpx_group_3,12,45-90,1018,0.762909397311286
kpx_group_3,12,90-135,1135,0.4258437709263359
kpx_group_3,12,135-180,737,0.4393886972631665
kpx_group_3,12,180-225,2203,0.558245367682303
kpx_group_3,12,225-270,923,0.5475105260338345
kpx_group_3,12,270-315,304,0.5239321959950242
kpx_group_3,12,315-360,3354,0.759261195571736
kpx_group_1,13,0-45,10286,0.755603320430662
kpx_group_1,13,45-90,1718,0.6477239644148137
kpx_group_1,13,90-135,1686,0.3960146207851397
kpx_group_1,13,135-180,809,0.3459981687410143
kpx_group_1,13,180-225,2766,0.3629832554040533
kpx_group_1,13,225-270,1770,0.441179469020361
kpx_group_1,13,270-315,523,0.47055258396588306
kpx_group_1,13,315-360,6642,0.763634155065205
kpx_group_2,13,0-45,10284,0.7689895742775423
kpx_group_2,13,45-90,1718,0.6719294696161503
kpx_group_2,13,90-135,1686,0.4006989954639581
kpx_group_2,13,135-180,809,0.35856505251075504
kpx_group_2,13,180-225,2766,0.3766470390252872
kpx_group_2,13,225-270,1770,0.47491333230625177
kpx_group_2,13,270-315,523,0.46365514328441937
kpx_group_2,13,315-360,6645,0.7810153005864283
kpx_group_3,13,0-45,6789,0.7610733977257779
kpx_group_3,13,45-90,1211,0.7128719711573742
kpx_group_3,13,90-135,1101,0.39815802041762743
kpx_group_3,13,135-180,545,0.4072230679343075
kpx_group_3,13,180-225,1938,0.5107740951268386
kpx_group_3,13,225-270,1344,0.5311197756824556
kpx_group_3,13,270-315,345,0.49642402167331073
kpx_group_3,13,315-360,4265,0.777900588894247
kpx_group_1,14,0-45,13147,0.5902628164610634
kpx_group_1,14,45-90,1536,0.7452708687366719
kpx_group_1,14,90-135,1227,0.523358494655703
kpx_group_1,14,135-180,2457,0.42991637986800885
kpx_group_1,14,180-225,3005,0.47814848384678155
kpx_group_1,14,225-270,555,0.5244139840802748
kpx_group_1,14,270-315,241,0.5012955511837127
kpx_group_1,14,315-360,4032,0.6897730625596978
kpx_group_2,14,0-45,13147,0.6131125040758292
kpx_group_2,14,45-90,1536,0.7633735802168302
kpx_group_2,14,90-135,1227,0.5311434373306357
kpx_group_2,14,135-180,2457,0.4075657356565795
kpx_group_2,14,180-225,3005,0.46624316902167495
kpx_group_2,14,225-270,555,0.5498273687197796
kpx_group_2,14,270-315,241,0.4698472574947642
kpx_group_2,14,315-360,4033,0.6896090720653043
kpx_group_3,14,0-45,8660,0.6437762181777589
kpx_group_3,14,45-90,1114,0.7802881411085872
kpx_group_3,14,90-135,790,0.4964242520762017
kpx_group_3,14,135-180,1591,0.4080964672797015
kpx_group_3,14,180-225,2247,0.5374609841087008
kpx_group_3,14,225-270,393,0.5626513218276378
kpx_group_3,14,270-315,162,0.48212179954653034
kpx_group_3,14,315-360,2581,0.7087743757563676
kpx_group_1,15,0-45,10458,0.6872644191706507
kpx_group_1,15,45-90,1299,0.7328922071685207
kpx_group_1,15,90-135,1368,0.5044947184524368
kpx_group_1,15,135-180,1974,0.37884578270639147
kpx_group_1,15,180-225,3165,0.47383451281568345
kpx_group_1,15,225-270,786,0.5045862725905937
kpx_group_1,15,270-315,297,0.4967741682120018
kpx_group_1,15,315-360,6853,0.7063982564417336
kpx_group_2,15,0-45,10456,0.6997601159809473
kpx_group_2,15,45-90,1299,0.7524748252973158
kpx_group_2,15,90-135,1368,0.5103439191109446
kpx_group_2,15,135-180,1974,0.3751317789148951
kpx_group_2,15,180-225,3165,0.4696285816974687
kpx_group_2,15,225-270,786,0.529181401361823
kpx_group_2,15,270-315,297,0.48935714077928627
kpx_group_2,15,315-360,6856,0.7138423439150038
kpx_group_3,15,0-45,6865,0.7167057472785655
kpx_group_3,15,45-90,952,0.7720078228561983
kpx_group_3,15,90-135,883,0.4700059621648412
kpx_group_3,15,135-180,1284,0.4199079150559772
kpx_group_3,15,180-225,2318,0.5593658107300132
kpx_group_3,15,225-270,583,0.5631519137850596
kpx_group_3,15,270-315,189,0.49942210619224114
kpx_group_3,15,315-360,4464,0.7205206513442898
kpx_group_1,16,0-45,9039,0.7440182419205413
kpx_group_1,16,45-90,1351,0.7220756192706681
kpx_group_1,16,90-135,1724,0.4062632333515311
kpx_group_1,16,135-180,1327,0.293392940444334
kpx_group_1,16,180-225,3033,0.4318416565749328
kpx_group_1,16,225-270,1216,0.459215151168261
kpx_group_1,16,270-315,372,0.4922032979377661
kpx_group_1,16,315-360,8138,0.7466102136370089
kpx_group_2,16,0-45,9037,0.7557341682553399
kpx_group_2,16,45-90,1351,0.7433396308797404
kpx_group_2,16,90-135,1724,0.41121914898188555
kpx_group_2,16,135-180,1327,0.30875126502737593
kpx_group_2,16,180-225,3033,0.4391868528816354
kpx_group_2,16,225-270,1216,0.48675508405850204
kpx_group_2,16,270-315,372,0.48813145171359884
kpx_group_2,16,315-360,8141,0.7583830922983781
kpx_group_3,16,0-45,5995,0.761707440183746
kpx_group_3,16,45-90,975,0.779062013080967
kpx_group_3,16,90-135,1125,0.38371819342086194
kpx_group_3,16,135-180,868,0.4208657628235727
kpx_group_3,16,180-225,2187,0.5567710669516681
kpx_group_3,16,225-270,896,0.5273502241722351
kpx_group_3,16,270-315,242,0.5037169284390624
kpx_group_3,16,315-360,5250,0.7530840612469907
