target,source,month,rows,mean_speed_bias,mae_speed_bias,mean_abs_dir_diff,mean_label_ratio
kpx_group_3,gfs,11,1440,3.249576919838972,4.1673137384091685,102.04139537678033,0.362050051818783
kpx_group_3,gfs,12,1488,3.684709617287529,4.536783902082095,90.64080766629269,0.4514867649449565
kpx_group_3,ldaps,1,1488,2.53572776601399,2.854214126606241,106.67601147096644,0.4046948761520738
kpx_group_3,ldaps,2,1368,1.947814634504135,2.368533808574917,109.36720246236179,0.21870894507101085
kpx_group_3,ldaps,3,1488,2.7633841301534594,3.101971184967832,108.16750352011722,0.31433762954429084
kpx_group_3,ldaps,4,1440,2.1735094844725524,2.5950618780313204,107.18106768855945,0.26112935009920635
kpx_group_3,ldaps,5,1488,2.1015965947322037,2.5391327233339775,112.2083823261605,0.25950695023681514
kpx_group_3,ldaps,6,1440,1.9168124945283602,2.345318825221944,104.80497953463752,0.1711411501984127
kpx_group_3,ldaps,7,1488,2.5622490283636172,2.976229338802748,117.04488017786578,0.35815903910417063
kpx_group_3,ldaps,8,1488,1.576811760386324,1.9923170474743186,110.96633687503542,0.11854994284434203
kpx_group_3,ldaps,9,1440,1.069484520310017,1.5943082550790855,112.39974610113835,0.09746465681216931
kpx_group_3,ldaps,10,1488,1.5230027001533637,2.012322820958383,100.32681007902056,0.1533243771441372
kpx_group_3,ldaps,11,1440,2.908119482704508,3.1631447191521906,110.05549480038236,0.362050051818783
kpx_group_3,ldaps,12,1488,2.7414191759923257,3.0820350313715434,102.43314087381124,0.4514867649449565
