target,taxonomy,bias_bin,rows,mean_abs_residual_ratio,mean_ldaps_speed_bias
kpx_group_1,tight_reconstruction,2..4,6856,0.0071278588300595965,2.883291873971811
kpx_group_1,tight_reconstruction,>=4,7194,0.009168479101669038,6.7995267221092455
kpx_group_2,label_missing,-1..1,9,,0.7503600075031325
kpx_group_2,label_missing,1..2,36,,1.633421646978835
kpx_group_2,label_missing,2..4,56,,2.824015290286067
kpx_group_2,label_missing,>=4,105,,7.818205915163384
kpx_group_2,low_online_label_positive,-4..-2,1,0.2571749537037037,-2.03562071486864
kpx_group_2,low_online_label_positive,-2..-1,5,0.092804287037037,-1.3102388138398446
kpx_group_2,low_online_label_positive,-1..1,7,0.15777693783068777,0.39105936752753795
kpx_group_2,low_online_label_positive,1..2,1,0.0933547685185185,1.1168755311335312
kpx_group_2,low_online_label_positive,2..4,1,0.0229386111111111,3.3582170485054315
kpx_group_2,low_online_label_positive,>=4,9,0.1007671090534979,7.202599296063898
kpx_group_2,moderate_residual,<=-4,132,0.07391512485970815,-4.798622799589826
kpx_group_2,moderate_residual,-4..-2,677,0.0633606041085398,-2.798081153707133
kpx_group_2,moderate_residual,-2..-1,527,0.05871875096633631,-1.4788391992080185
kpx_group_2,moderate_residual,-1..1,1228,0.059952299395282856,-0.02443572377489188
kpx_group_2,moderate_residual,1..2,532,0.060470601938874914,1.489942210387588
kpx_group_2,moderate_residual,2..4,749,0.06636909861296539,2.882131377014928
kpx_group_2,moderate_residual,>=4,677,0.07212517444882101,6.6500629261847735
kpx_group_2,scada_under_label,<=-4,139,0.24475563615774043,-5.3204779300524345
kpx_group_2,scada_under_label,-4..-2,277,0.25869272462896103,-2.856256934554541
kpx_group_2,scada_under_label,-2..-1,178,0.24260280144610902,-1.4793888055578694
kpx_group_2,scada_under_label,-1..1,424,0.24901640341107611,-0.023250882395552626
kpx_group_2,scada_under_label,1..2,211,0.2559496239248727,1.5257281569907943
kpx_group_2,scada_under_label,2..4,367,0.26038911381067714,2.9860719588805043
kpx_group_2,scada_under_label,>=4,600,0.2820923284722222,7.12834323745536
kpx_group_2,scada_zero_label_positive,<=-4,89,0.33513958229296714,-5.136381860279882
kpx_group_2,scada_zero_label_positive,-4..-2,226,0.3818059806211078,-2.8329542831655763
kpx_group_2,scada_zero_label_positive,-2..-1,186,0.3310179151732377,-1.49101805936974
kpx_group_2,scada_zero_label_positive,-1..1,363,0.3389893633302724,-0.0025412891301389235
kpx_group_2,scada_zero_label_positive,1..2,158,0.36531947902015943,1.5002173752741335
kpx_group_2,scada_zero_label_positive,2..4,246,0.4350787379554351,2.9417923106231076
kpx_group_2,scada_zero_label_positive,>=4,468,0.5221924821937322,7.010616740775904
kpx_group_2,tight_reconstruction,<=-4,1709,0.008026991255444982,-5.123944366686645
kpx_group_2,tight_reconstruction,-4..-2,6210,0.006953446367865404,-2.8046929444801036
kpx_group_2,tight_reconstruction,-2..-1,5883,0.005939121881315236,-1.4762655397034405
kpx_group_2,tight_reconstruction,-1..1,13145,0.005520765038812072,-0.024569500252416016
kpx_group_2,tight_reconstruction,1..2,5113,0.005754098820363449,1.4778248720495124
kpx_group_2,tight_reconstruction,2..4,6105,0.006857634748384707,2.873232285831612
kpx_group_2,tight_reconstruction,>=4,5759,0.007919855845600718,6.555754356739419
kpx_group_3,label_missing,-2..-1,2,,-1.4438836734613232
kpx_group_3,label_missing,-1..1,2,,0.57523433725603
kpx_group_3,low_online_label_positive,<=-4,5,0.04038657142857138,-4.809257985719381
kpx_group_3,low_online_label_positive,-4..-2,39,0.027651139194139144,-2.736563289683085
kpx_group_3,low_online_label_positive,-2..-1,33,0.022236953823953787,-1.4376234321081325
kpx_group_3,low_online_label_positive,-1..1,90,0.036155103174603125,0.044853831395183896
kpx_group_3,low_online_label_positive,1..2,61,0.02600408430913344,1.5305926207639933
kpx_group_3,low_online_label_positive,2..4,85,0.029419242577030776,2.9759424337489424
kpx_group_3,low_online_label_positive,>=4,207,0.024090672417759324,8.037273300971062
kpx_group_3,moderate_residual,<=-4,95,0.04529756491228067,-5.1624559094947955
kpx_group_3,moderate_residual,-4..-2,237,0.04843342756680727,-2.843826280572469
kpx_group_3,moderate_residual,-2..-1,240,0.04859701170634916,-1.4631784335879678
kpx_group_3,moderate_residual,-1..1,765,0.04910242489884838,0.08513672141402859
kpx_group_3,moderate_residual,1..2,502,0.05090617017643707,1.5206824859270287
kpx_group_3,moderate_residual,2..4,998,0.04927646383242671,2.994908056300506
kpx_group_3,moderate_residual,>=4,1853,0.05142554048775469,7.187132668737623
kpx_group_3,scada_over_label,-2..-1,1,0.1385112857142856,-1.0296752090451342
kpx_group_3,scada_over_label,-1..1,1,0.1327839523809523,-0.2651378653709919
kpx_group_3,scada_over_label,1..2,3,0.13677693650793643,1.4499907630687083
kpx_group_3,scada_over_label,2..4,2,0.12409271428571425,2.982472477510069
kpx_group_3,scada_over_label,>=4,3,0.12907366666666664,7.870304135382203
kpx_group_3,scada_under_label,<=-4,15,0.18542626349206348,-5.295661625971149
kpx_group_3,scada_under_label,-4..-2,26,0.1780476575091575,-2.9233625946746926
kpx_group_3,scada_under_label,-2..-1,28,0.20992092687074826,-1.4781860809427794
kpx_group_3,scada_under_label,-1..1,139,0.19242866221308663,-0.022025643685687272
kpx_group_3,scada_under_label,1..2,59,0.18745433898305086,1.4828951490029139
kpx_group_3,scada_under_label,2..4,137,0.1853856618004866,2.8734912971335094
kpx_group_3,scada_under_label,>=4,278,0.1866581673518328,7.491118842638386
kpx_group_3,scada_zero_label_positive,-2..-1,3,0.9221985079365078,-1.5929881681632694
kpx_group_3,scada_zero_label_positive,-1..1,21,0.6189313310657596,0.06134428272511424
kpx_group_3,scada_zero_label_positive,1..2,23,0.8046965672877846,1.5248821130521493
kpx_group_3,scada_zero_label_positive,2..4,38,0.6797684185463659,3.033477663583413
kpx_group_3,scada_zero_label_positive,>=4,103,0.724134142857143,6.84459749228003
kpx_group_3,tight_reconstruction,<=-4,290,0.01159402873563214,-5.0306942181415755
kpx_group_3,tight_reconstruction,-4..-2,1348,0.009612269252508077,-2.694810222893357
kpx_group_3,tight_reconstruction,-2..-1,2494,0.006133433974872989,-1.4284353854188394
kpx_group_3,tight_reconstruction,-1..1,8889,0.005440694180608422,0.05073559450790627
kpx_group_3,tight_reconstruction,1..2,4337,0.006435415362824826,1.4816401641177315
kpx_group_3,tight_reconstruction,2..4,5743,0.008233752502010685,2.89944637007394
kpx_group_3,tight_reconstruction,>=4,5877,0.010844487696184433,6.631021748483316
