slice_type,target,count,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max,year,season
target+year,kpx_group_3,8759,0.26851784082766567,0.2954272109276458,0.0,0.0,0.0,0.0,0.012397,0.13912180952380954,0.48003909523809524,0.766547380952381,0.8677894761904763,0.9644997838095238,1.004156380952381,2023.0,
target+year,kpx_group_3,8778,0.26131908222395817,0.3039283365999849,0.0,0.0,0.0,0.0,0.004821047619047619,0.11777142857142857,0.47160225,0.7653765333333334,0.8994706666666665,0.9870967376190474,1.0062225714285713,2024.0,
target+year,kpx_group_3,1,0.7775669047619048,,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,0.7775669047619048,2025.0,
target+season,kpx_group_1,6470,0.24938204900108765,0.28838642944896037,0.0,0.0,0.0,0.0,0.014061388888888889,0.11717837962962963,0.42251171296296297,0.7472631481481482,0.8637719444444444,0.9675584722222221,0.9842982407407408,,fall
target+season,kpx_group_1,6622,0.3250552143318568,0.2958721352532391,0.0,0.0,0.0,0.003347962962962963,0.054236851851851856,0.24239180555555553,0.5624561574074074,0.7933979490740745,0.8838596296296296,0.9695672685185185,0.9842982407407408,,spring
target+season,kpx_group_1,6604,0.2242999884749983,0.26074178402579984,0.0,0.0,0.0,0.0,0.010043842592592592,0.10110819444444444,0.39304972222222223,0.6635643055555556,0.7565369699074072,0.8912251388888889,0.9742543981481482,,summer
target+season,kpx_group_1,6504,0.4281862293716687,0.32860698514013237,0.0,0.0,0.0,0.0,0.07298537037037037,0.4549868287037037,0.7124444444444444,0.8731462037037037,0.9314006018518519,0.9776023611111111,0.9849678240740741,,winter
target+season,kpx_group_2,6470,0.25965038210544394,0.2994574588819927,0.0,0.0,0.0,0.0,0.013391805555555554,0.11383041666666667,0.4531454745370371,0.7881081944444444,0.8764941666666667,0.9568450462962963,0.9889853703703704,,fall
target+season,kpx_group_2,6622,0.34645279159255904,0.31492268603524143,0.0,0.0,0.0,0.00200875,0.052228055555555555,0.2497573148148148,0.6274064351851851,0.8443537962962964,0.9032777777777777,0.9568450462962963,0.9876462037037037,,spring
target+season,kpx_group_2,6605,0.2511958395996299,0.2869970089510637,0.0,0.0,0.0,0.0,0.010043842592592592,0.1064649074074074,0.4660350925925926,0.7419064351851852,0.8256052777777778,0.8911983555555556,0.9575146296296296,,summer
target+season,kpx_group_2,6504,0.453717563970605,0.350213563048825,0.0,0.0,0.0,0.0,0.07231578703703703,0.4881315740740741,0.7927953240740742,0.9079649074074074,0.9406744236111109,0.9742543981481482,0.9889853703703704,,winter
target+season,kpx_group_3,4368,0.20371974670765744,0.2742523560814791,0.0,0.0,0.0,0.0,0.002754904761904762,0.0681834761904762,0.30527594047619044,0.6939560857142859,0.849194,0.9772962380952381,1.0034676666666666,,fall
target+season,kpx_group_3,4416,0.27851154865424427,0.2926322666499227,0.0,0.0,0.0,0.0006887142857142857,0.026860142857142857,0.1597834761904762,0.47728419047619053,0.7610375714285714,0.8815639047619048,0.9800511428571429,1.0055338571428571,,spring
target+season,kpx_group_3,4410,0.2162442782744844,0.286971432484166,0.0,0.0,0.0,0.0,0.0013774285714285713,0.06336242857142857,0.354003,0.724673076190476,0.8605923166666668,0.9593894761904762,1.0034676666666666,,summer
target+season,kpx_group_3,4344,0.36215288186222927,0.31731690460714,0.0,0.0,0.0,0.0,0.03374738095238095,0.3188781904761905,0.6310413690476191,0.8111076714285715,0.921509761904762,0.9917593809523809,1.0062225714285713,,winter
