target,year,ratio_bin,rows,non_null,actual_sum,eligible_count,eligible_rate,mean_actual_ratio,actual_sum_share
kpx_group_2,2023,1-5%,1000,1000,589373.68,0,0.0,0.027285818518518516,0.00931282114717826
kpx_group_2,2023,10-30%,1643,1643,6633281.493,1643,1.0,0.18691196921282208,0.10481391731506669
kpx_group_2,2023,30-60%,1487,1487,14507993.703,1487,1.0,0.4516922495890308,0.22924395022259464
kpx_group_2,2023,5-10%,762,762,1223019.094,0,0.0,0.07430610807329639,0.019325189550381677
kpx_group_2,2023,60-80%,1154,1154,17553732.254,1154,1.0,0.7042225212625971,0.2773703246248735
kpx_group_2,2023,80-90%,737,737,13565690.022,737,1.0,0.8521590294738429,0.21435440570224767
kpx_group_2,2023,90-100%,453,453,9167284.601,453,1.0,0.9368903402215681,0.14485424916564718
kpx_group_2,2023,<1%,1522,1522,45891.547,0,0.0,0.0013959321007933033,0.0007251422720103907
kpx_group_2,2023,,2,0,0.0,0,0.0,,0.0
kpx_group_2,2024,1-5%,1056,1056,623405.502,0,0.0,0.027330838857323233,0.010945604018179783
kpx_group_2,2024,10-30%,1436,1436,5751202.43,1436,1.0,0.18541738980449807,0.10097823042179908
kpx_group_2,2024,30-60%,1462,1462,14081041.273,1462,1.0,0.4458960731430815,0.24723153941285583
kpx_group_2,2024,5-10%,695,695,1098780.559,0,0.0,0.07319348248068212,0.01929212505039493
kpx_group_2,2024,60-80%,1125,1125,17209783.897,1125,1.0,0.7082215595473251,0.3021652506605707
kpx_group_2,2024,80-90%,598,598,10940583.478,598,1.0,0.8470041711569429,0.1920921360075326
kpx_group_2,2024,90-100%,355,355,7187205.991,355,1.0,0.9372986425404278,0.12619123591657908
kpx_group_2,2024,<1%,2051,2051,62871.262,0,0.0,0.0014191645899922349,0.001103878512088002
kpx_group_2,2024,,6,0,0.0,0,0.0,,0.0
kpx_group_2,2025,90-100%,1,1,21304.232,1,1.0,0.986307037037037,1.0
kpx_group_3,2022,,8759,0,0.0,0,0.0,,
kpx_group_3,2023,1-5%,1003,1003,587363.291,0,0.0,0.027886022456440205,0.011892135066357772
kpx_group_3,2023,10-30%,1692,1692,6609489.598,1692,1.0,0.18601512996735337,0.13381997857796452
kpx_group_3,2023,30-60%,1553,1553,14429603.361,1553,1.0,0.4424494330788336,0.2921510328485647
kpx_group_3,2023,5-10%,814,814,1249747.024,0,0.0,0.07311027401427402,0.02530318226541445
kpx_group_3,2023,60-80%,900,900,13278422.771,900,1.0,0.7025620513756614,0.26884349001805874
kpx_group_3,2023,80-90%,380,380,6783380.153,380,1.0,0.8500476382205514,0.13734067862597604
kpx_group_3,2023,90-100%,322,322,6390502.927,322,1.0,0.9450610658089323,0.1293862335530919
kpx_group_3,2023,<1%,2095,2095,62393.999,0,0.0,0.001418206591658143,0.0012632690445719254
kpx_group_3,2023,,1,0,0.0,0,0.0,,0.0
kpx_group_3,2024,1-5%,1020,1020,575734.934,0,0.0,0.026878381605975724,0.011951889975941139
kpx_group_3,2024,10-30%,1507,1507,5930661.275,1507,1.0,0.18740042579075425,0.12311674497656033
kpx_group_3,2024,30-60%,1448,1448,13567917.346,1448,1.0,0.4461956506840305,0.28166130930324146
kpx_group_3,2024,5-10%,681,681,1051298.019,0,0.0,0.07351220327249842,0.02182427626497453
kpx_group_3,2024,60-80%,899,899,13261414.098,899,1.0,0.702442613379946,0.2752984973892355
kpx_group_3,2024,80-90%,274,274,4900407.162,274,1.0,0.8516522700729927,0.1017293267765092
kpx_group_3,2024,90-100%,438,438,8813067.407,438,1.0,0.9581504030223962,0.18295365762713445
kpx_group_3,2024,<1%,2511,2511,70536.738,0,0.0,0.0013376711611765375,0.0014642976864033515
kpx_group_3,2024,,6,0,0.0,0,0.0,,0.0
kpx_group_3,2025,60-80%,1,1,16328.905,1,1.0,0.7775669047619048,1.0
