slice_type,target,rows,non_null,eligible_count,eligible_rate,actual_sum,eligible_actual_sum,year,month,hour,season,ratio_bin
target+season,kpx_group_2,6504,6504,4712,0.7244772447724477,63741147.179,62943677.607999995,,,,winter,
target+season,kpx_group_3,6552,4368,1931,0.2947191697191697,18686804.926,17607405.023000002,,,,fall,
target+season,kpx_group_3,6624,4416,2617,0.39507850241545894,25828046.976,24817332.622,,,,spring,
target+season,kpx_group_3,6624,4410,1951,0.2945350241545894,20026382.611,19100624.834,,,,summer,
target+season,kpx_group_3,6504,4344,2915,0.4481857318573186,33037034.495,32455832.524000004,,,,winter,
target+ratio_bin,kpx_group_1,3049,3049,0,0.0,1818178.062,0.0,,,,,1-5%
target+ratio_bin,kpx_group_1,5005,5005,5005,1.0,20411015.869,20411015.869000003,,,,,10-30%
target+ratio_bin,kpx_group_1,4945,4945,4945,1.0,47866775.616,47866775.616,,,,,30-60%
target+ratio_bin,kpx_group_1,2162,2162,0,0.0,3431326.346,0.0,,,,,5-10%
target+ratio_bin,kpx_group_1,3537,3537,3537,1.0,53091895.146,53091895.146,,,,,60-80%
target+ratio_bin,kpx_group_1,1362,1362,1362,1.0,24961920.819,24961920.819,,,,,80-90%
target+ratio_bin,kpx_group_1,1066,1066,1066,1.0,21754831.269,21754831.269,,,,,90-100%
target+ratio_bin,kpx_group_1,5074,5074,0,0.0,159962.348,0.0,,,,,<1%
target+ratio_bin,kpx_group_1,104,0,0,0.0,0.0,0.0,,,,,
target+ratio_bin,kpx_group_2,3095,3095,0,0.0,1844414.217,0.0,,,,,1-5%
target+ratio_bin,kpx_group_2,4576,4576,4576,1.0,18470045.634,18470045.634000003,,,,,10-30%
target+ratio_bin,kpx_group_2,4391,4391,4391,1.0,42634265.467,42634265.467,,,,,30-60%
target+ratio_bin,kpx_group_2,2123,2123,0,0.0,3371694.735,0.0,,,,,5-10%
target+ratio_bin,kpx_group_2,3459,3459,3459,1.0,52737764.731,52737764.731,,,,,60-80%
target+ratio_bin,kpx_group_2,2117,2117,2117,1.0,38915874.313,38915874.313,,,,,80-90%
target+ratio_bin,kpx_group_2,1348,1348,1348,1.0,27284544.888,27284544.888,,,,,90-100%
target+ratio_bin,kpx_group_2,5092,5092,0,0.0,161755.774,0.0,,,,,<1%
target+ratio_bin,kpx_group_2,103,0,0,0.0,0.0,0.0,,,,,
target+ratio_bin,kpx_group_3,2023,2023,0,0.0,1163098.225,0.0,,,,,1-5%
target+ratio_bin,kpx_group_3,3199,3199,3199,1.0,12540150.873,12540150.873,,,,,10-30%
target+ratio_bin,kpx_group_3,3001,3001,3001,1.0,27997520.707,27997520.707000002,,,,,30-60%
target+ratio_bin,kpx_group_3,1495,1495,0,0.0,2301045.043,0.0,,,,,5-10%
target+ratio_bin,kpx_group_3,1800,1800,1800,1.0,26556165.774,26556165.774,,,,,60-80%
target+ratio_bin,kpx_group_3,654,654,654,1.0,11683787.315,11683787.315,,,,,80-90%
target+ratio_bin,kpx_group_3,760,760,760,1.0,15203570.334,15203570.333999999,,,,,90-100%
target+ratio_bin,kpx_group_3,4606,4606,0,0.0,132930.737,0.0,,,,,<1%
target+ratio_bin,kpx_group_3,8766,0,0,0.0,0.0,0.0,,,,,
