slice_type,target,year,ratio_bin,count,row_count,actual_sum,eligible_count,mean_actual_ratio,month,count_share_hint
target+year+ratio_bin,kpx_group_2,2022.0,10-30%,1497,1497,6085561.711,1497,0.18820238350157106,,1497
target+year+ratio_bin,kpx_group_2,2022.0,30-60%,1442,1442,14045230.491,1442,0.4509307575319772,,1442
target+year+ratio_bin,kpx_group_2,2022.0,5-10%,666,666,1049895.082,0,0.07298236305750194,,666
target+year+ratio_bin,kpx_group_2,2022.0,60-80%,1180,1180,17974248.58,1180,0.7052043542059008,,1180
target+year+ratio_bin,kpx_group_2,2022.0,80-90%,782,782,14409600.813,782,0.8530833104219948,,782
target+year+ratio_bin,kpx_group_2,2022.0,90-100%,539,539,10908750.064,539,0.9369846478389336,,539
target+year+ratio_bin,kpx_group_2,2022.0,<1%,1519,1519,52992.965000000004,0,0.001615127063370151,,1519
target+year+ratio_bin,kpx_group_2,2022.0,,0,95,0.0,0,,,0
target+year+ratio_bin,kpx_group_2,2023.0,1-5%,1000,1000,589373.68,0,0.027285818518518516,,1000
target+year+ratio_bin,kpx_group_2,2023.0,10-30%,1643,1643,6633281.493,1643,0.18691196921282208,,1643
target+year+ratio_bin,kpx_group_2,2023.0,30-60%,1487,1487,14507993.703,1487,0.4516922495890308,,1487
target+year+ratio_bin,kpx_group_2,2023.0,5-10%,762,762,1223019.094,0,0.07430610807329639,,762
target+year+ratio_bin,kpx_group_2,2023.0,60-80%,1154,1154,17553732.254,1154,0.7042225212625971,,1154
target+year+ratio_bin,kpx_group_2,2023.0,80-90%,737,737,13565690.022,737,0.8521590294738429,,737
target+year+ratio_bin,kpx_group_2,2023.0,90-100%,453,453,9167284.601,453,0.9368903402215681,,453
target+year+ratio_bin,kpx_group_2,2023.0,<1%,1522,1522,45891.547,0,0.0013959321007933033,,1522
target+year+ratio_bin,kpx_group_2,2023.0,,0,2,0.0,0,,,0
target+year+ratio_bin,kpx_group_2,2024.0,1-5%,1056,1056,623405.502,0,0.027330838857323233,,1056
target+year+ratio_bin,kpx_group_2,2024.0,10-30%,1436,1436,5751202.43,1436,0.18541738980449807,,1436
target+year+ratio_bin,kpx_group_2,2024.0,30-60%,1462,1462,14081041.273,1462,0.4458960731430815,,1462
target+year+ratio_bin,kpx_group_2,2024.0,5-10%,695,695,1098780.559,0,0.07319348248068212,,695
target+year+ratio_bin,kpx_group_2,2024.0,60-80%,1125,1125,17209783.897,1125,0.7082215595473251,,1125
target+year+ratio_bin,kpx_group_2,2024.0,80-90%,598,598,10940583.478,598,0.8470041711569429,,598
target+year+ratio_bin,kpx_group_2,2024.0,90-100%,355,355,7187205.991,355,0.9372986425404278,,355
target+year+ratio_bin,kpx_group_2,2024.0,<1%,2051,2051,62871.262,0,0.0014191645899922349,,2051
target+year+ratio_bin,kpx_group_2,2024.0,,0,6,0.0,0,,,0
target+year+ratio_bin,kpx_group_2,2025.0,90-100%,1,1,21304.232,1,0.986307037037037,,1
target+year+ratio_bin,kpx_group_3,2022.0,,0,8759,0.0,0,,,0
target+year+ratio_bin,kpx_group_3,2023.0,1-5%,1003,1003,587363.291,0,0.027886022456440205,,1003
target+year+ratio_bin,kpx_group_3,2023.0,10-30%,1692,1692,6609489.598,1692,0.18601512996735337,,1692
target+year+ratio_bin,kpx_group_3,2023.0,30-60%,1553,1553,14429603.361,1553,0.4424494330788336,,1553
target+year+ratio_bin,kpx_group_3,2023.0,5-10%,814,814,1249747.024,0,0.07311027401427402,,814
target+year+ratio_bin,kpx_group_3,2023.0,60-80%,900,900,13278422.771,900,0.7025620513756614,,900
target+year+ratio_bin,kpx_group_3,2023.0,80-90%,380,380,6783380.153,380,0.8500476382205514,,380
target+year+ratio_bin,kpx_group_3,2023.0,90-100%,322,322,6390502.927,322,0.9450610658089323,,322
target+year+ratio_bin,kpx_group_3,2023.0,<1%,2095,2095,62393.999,0,0.001418206591658143,,2095
target+year+ratio_bin,kpx_group_3,2023.0,,0,1,0.0,0,,,0
target+year+ratio_bin,kpx_group_3,2024.0,1-5%,1020,1020,575734.934,0,0.026878381605975724,,1020
target+year+ratio_bin,kpx_group_3,2024.0,10-30%,1507,1507,5930661.275,1507,0.18740042579075425,,1507
target+year+ratio_bin,kpx_group_3,2024.0,30-60%,1448,1448,13567917.346,1448,0.4461956506840305,,1448
target+year+ratio_bin,kpx_group_3,2024.0,5-10%,681,681,1051298.019,0,0.07351220327249842,,681
target+year+ratio_bin,kpx_group_3,2024.0,60-80%,899,899,13261414.098,899,0.702442613379946,,899
target+year+ratio_bin,kpx_group_3,2024.0,80-90%,274,274,4900407.162,274,0.8516522700729927,,274
target+year+ratio_bin,kpx_group_3,2024.0,90-100%,438,438,8813067.407,438,0.9581504030223962,,438
target+year+ratio_bin,kpx_group_3,2024.0,<1%,2511,2511,70536.738,0,0.0013376711611765375,,2511
target+year+ratio_bin,kpx_group_3,2024.0,,0,6,0.0,0,,,0
target+year+ratio_bin,kpx_group_3,2025.0,60-80%,1,1,16328.905,1,0.7775669047619048,,1
target+ratio_bin,kpx_group_1,,1-5%,3049,3049,1818178.062,0,0.027607382839546665,,3049
target+ratio_bin,kpx_group_1,,10-30%,5005,5005,20411015.869,5005,0.1888020855903356,,5005
target+ratio_bin,kpx_group_1,,30-60%,4945,4945,47866775.616,4945,0.44814043006403775,,4945
target+ratio_bin,kpx_group_1,,5-10%,2162,2162,3431326.346,0,0.0734771975965327,,2162
target+ratio_bin,kpx_group_1,,60-80%,3537,3537,53091895.146,3537,0.6949273702604216,,3537
target+ratio_bin,kpx_group_1,,80-90%,1362,1362,24961920.819,1362,0.8484908093693915,,1362
target+ratio_bin,kpx_group_1,,90-100%,1066,1066,21754831.269,1066,0.9448106137950804,,1066
target+ratio_bin,kpx_group_1,,<1%,5074,5074,159962.348,0,0.001459531781485861,,5074
target+ratio_bin,kpx_group_1,,,0,104,0.0,0,,,0
target+ratio_bin,kpx_group_2,,1-5%,3095,3095,1844414.217,0,0.027589514404954225,,3095
target+ratio_bin,kpx_group_2,,10-30%,4576,4576,18470045.634,4576,0.18686510167783604,,4576
target+ratio_bin,kpx_group_2,,30-60%,4391,4391,42634265.467,4391,0.4495123175666557,,4391
target+ratio_bin,kpx_group_2,,5-10%,2123,2123,3371694.735,0,0.07352660314282723,,2123
target+ratio_bin,kpx_group_2,,60-80%,3459,3459,52737764.731,3459,0.7058581040736458,,3459
target+ratio_bin,kpx_group_2,,80-90%,2117,2117,38915874.313,2117,0.851044330573488,,2117
target+ratio_bin,kpx_group_2,,90-100%,1348,1348,27284544.888,1348,0.937072236234751,,1348
target+ratio_bin,kpx_group_2,,<1%,5092,5092,161755.774,0,0.0014706781698233975,,5092
target+ratio_bin,kpx_group_2,,,0,103,0.0,0,,,0
target+ratio_bin,kpx_group_3,,1-5%,2023,2023,1163098.225,0,0.027377968246121976,,2023
target+ratio_bin,kpx_group_3,,10-30%,3199,3199,12540150.873,3199,0.18666772165408832,,3199
target+ratio_bin,kpx_group_3,,30-60%,3001,3001,27997520.707,3001,0.4442570049189952,,3001
target+ratio_bin,kpx_group_3,,5-10%,1495,1495,2301045.043,0,0.07329336018474279,,1495
target+ratio_bin,kpx_group_3,,60-80%,1800,1800,26556165.774,1800,0.7025440680952381,,1800
target+ratio_bin,kpx_group_3,,80-90%,654,654,11683787.315,654,0.8507199151740208,,654
target+ratio_bin,kpx_group_3,,90-100%,760,760,15203570.334,760,0.952604657518797,,760
target+ratio_bin,kpx_group_3,,<1%,4606,4606,132930.737,0,0.0013743020180716663,,4606
target+ratio_bin,kpx_group_3,,,0,8766,0.0,0,,,0
year+ratio_bin,,2022.0,1-5%,2073,2073,1251468.136,0,0.02794903021207411,,2073
year+ratio_bin,,2022.0,10-30%,3201,3201,13076705.11,3201,0.18912933906649543,,3201
year+ratio_bin,,2022.0,30-60%,3307,3307,32219302.062,3307,0.4510536300944125,,3307
year+ratio_bin,,2022.0,5-10%,1400,1400,2217028.533,0,0.07331443561507937,,1400
year+ratio_bin,,2022.0,60-80%,2469,2469,37182754.12,2469,0.6972149865742615,,2469
year+ratio_bin,,2022.0,80-90%,1117,1117,20493007.508,1117,0.8493736325806558,,1117
year+ratio_bin,,2022.0,90-100%,762,762,15458396.719,762,0.9391949012710217,,762
year+ratio_bin,,2022.0,<1%,2999,2999,106607.842,0,0.0016457313240215874,,2999
year+ratio_bin,,2022.0,,0,8949,0.0,0,,,0
year+ratio_bin,,2023.0,1-5%,2986,2986,1769914.485,0,0.027701748488537334,,2986
year+ratio_bin,,2023.0,10-30%,5082,5082,20380194.879,5082,0.18738100192894727,,5082
year+ratio_bin,,2023.0,30-60%,4636,4636,44285798.97,4636,0.44636653316778974,,4636
year+ratio_bin,,2023.0,5-10%,2325,2325,3668478.758,0,0.07375917594242476,,2325
year+ratio_bin,,2023.0,60-80%,3191,3191,47982133.773,3191,0.7016481144994438,,3191
year+ratio_bin,,2023.0,80-90%,1696,1696,30993202.304,1696,0.8513226427518531,,1696
year+ratio_bin,,2023.0,90-100%,1225,1225,24746549.93,1225,0.942144207404168,,1225
year+ratio_bin,,2023.0,<1%,5133,5133,153584.101,0,0.0014013066025726263,,5133
year+ratio_bin,,2023.0,,0,6,0.0,0,,,0
year+ratio_bin,,2024.0,1-5%,3108,3108,1804307.883,0,0.027121726675229652,,3108
year+ratio_bin,,2024.0,10-30%,4497,4497,17964312.387,4497,0.18668577253148189,,4497
year+ratio_bin,,2024.0,30-60%,4394,4394,41993460.758,4394,0.4465381616694723,,4394
year+ratio_bin,,2024.0,5-10%,2055,2055,3218558.833,0,0.07318635485395023,,2055
year+ratio_bin,,2024.0,60-80%,3135,3135,47204608.853,3135,0.7026922204302845,,3135
year+ratio_bin,,2024.0,80-90%,1320,1320,24075372.635,1320,0.8493050037948933,,1320
year+ratio_bin,,2024.0,90-100%,1185,1185,23995825.273,1185,0.9473209563570202,,1185
year+ratio_bin,,2024.0,<1%,6640,6640,194456.916,0,0.0013698701149837443,,6640
year+ratio_bin,,2024.0,,0,18,0.0,0,,,0
year+ratio_bin,,2025.0,60-80%,1,1,16328.905,1,0.7775669047619048,,1
year+ratio_bin,,2025.0,90-100%,2,2,42174.569,2,0.9762631712962964,,2
target+month+ratio_bin,kpx_group_1,,1-5%,132,132,84378.066,0,0.02959387836700337,1.0,132
target+month+ratio_bin,kpx_group_1,,10-30%,296,296,1252422.693,296,0.19588693271396396,1.0,296
target+month+ratio_bin,kpx_group_1,,30-60%,492,492,4907884.602,492,0.4618229262646793,1.0,492
target+month+ratio_bin,kpx_group_1,,5-10%,123,123,193430.279,0,0.07280573584763625,1.0,123
target+month+ratio_bin,kpx_group_1,,60-80%,430,430,6486899.865,430,0.698417298126615,1.0,430
target+month+ratio_bin,kpx_group_1,,80-90%,205,205,3752914.676,205,0.8475417064137308,1.0,205
target+month+ratio_bin,kpx_group_1,,90-100%,206,206,4197888.192,206,0.9434304638619201,1.0,206
target+month+ratio_bin,kpx_group_1,,<1%,348,348,5148.881,0,0.0006849831045125586,1.0,348
target+month+ratio_bin,kpx_group_1,,1-5%,150,150,86301.66100000001,0,0.02663631512345679,2.0,150
target+month+ratio_bin,kpx_group_1,,10-30%,242,242,991232.521,242,0.18962972930058156,2.0,242
target+month+ratio_bin,kpx_group_1,,30-60%,315,315,3135193.2060000002,315,0.4607867733686067,2.0,315
target+month+ratio_bin,kpx_group_1,,5-10%,127,127,204624.761,0,0.07459345326625838,2.0,127
target+month+ratio_bin,kpx_group_1,,60-80%,417,417,6239970.376,417,0.6927758211208811,2.0,417
target+month+ratio_bin,kpx_group_1,,80-90%,80,80,1462876.106,80,0.8465718206018519,2.0,80
target+month+ratio_bin,kpx_group_1,,90-100%,89,89,1833957.35,89,0.9539936277569705,2.0,89
target+month+ratio_bin,kpx_group_1,,<1%,620,620,9343.185,0,0.0006976691308243728,2.0,620
target+month+ratio_bin,kpx_group_1,,1-5%,229,229,131383.323,0,0.02656140283842795,3.0,229
target+month+ratio_bin,kpx_group_1,,10-30%,486,486,2059192.109,486,0.19615837038942235,3.0,486
target+month+ratio_bin,kpx_group_1,,30-60%,529,529,5056233.224,529,0.44250448295176087,3.0,529
target+month+ratio_bin,kpx_group_1,,5-10%,162,162,258355.379,0,0.0738326986168267,3.0,162
target+month+ratio_bin,kpx_group_1,,60-80%,291,291,4394326.803,291,0.6991101570255822,3.0,291
target+month+ratio_bin,kpx_group_1,,80-90%,120,120,2184732.315,120,0.8428751215277778,3.0,120
target+month+ratio_bin,kpx_group_1,,90-100%,85,85,1734494.21,85,0.9447136220043573,3.0,85
target+month+ratio_bin,kpx_group_1,,<1%,328,328,11064.303,0,0.0015616958841463417,3.0,328
target+month+ratio_bin,kpx_group_1,,,0,2,0.0,0,,3.0,0
target+month+ratio_bin,kpx_group_1,,1-5%,252,252,147943.638,0,0.02717953373015873,4.0,252
target+month+ratio_bin,kpx_group_1,,10-30%,508,508,2002221.726,508,0.1824713588145232,4.0,508
target+month+ratio_bin,kpx_group_1,,30-60%,419,419,3993003.098,419,0.44119631154424116,4.0,419
target+month+ratio_bin,kpx_group_1,,5-10%,188,188,306850.357,0,0.0755640162037037,4.0,188
target+month+ratio_bin,kpx_group_1,,60-80%,288,288,4331527.774,288,0.6962975459747942,4.0,288
target+month+ratio_bin,kpx_group_1,,80-90%,137,137,2498958.882,137,0.8444711009732361,4.0,137
target+month+ratio_bin,kpx_group_1,,90-100%,80,80,1628956.548,80,0.9426831874999999,4.0,80
target+month+ratio_bin,kpx_group_1,,<1%,288,288,13826.773,0,0.0022226679848251028,4.0,288
target+month+ratio_bin,kpx_group_1,,1-5%,249,249,149997.405,0,0.027888852632753237,5.0,249
target+month+ratio_bin,kpx_group_1,,10-30%,514,514,2100007.134,514,0.18914893482490275,5.0,514
target+month+ratio_bin,kpx_group_1,,30-60%,538,538,5161351.457,538,0.4441476883691312,5.0,538
target+month+ratio_bin,kpx_group_1,,5-10%,200,200,320720.52,0,0.07424086111111111,5.0,200
target+month+ratio_bin,kpx_group_1,,60-80%,257,257,3856803.537,257,0.6947693358192824,5.0,257
target+month+ratio_bin,kpx_group_1,,80-90%,96,96,1759298.525,96,0.8484271436149692,5.0,96
target+month+ratio_bin,kpx_group_1,,90-100%,116,116,2382472.608,116,0.9508591187739464,5.0,116
target+month+ratio_bin,kpx_group_1,,<1%,262,262,10615.945,0,0.0018758737984167374,5.0,262
target+month+ratio_bin,kpx_group_1,,1-5%,321,321,190986.009,0,0.027544999567324334,6.0,321
target+month+ratio_bin,kpx_group_1,,10-30%,490,490,2007110.273,490,0.18963626917989418,6.0,490
target+month+ratio_bin,kpx_group_1,,30-60%,394,394,3647261.301,394,0.42856520269317544,6.0,394
target+month+ratio_bin,kpx_group_1,,5-10%,206,206,333100.992,0,0.07486088457389428,6.0,206
target+month+ratio_bin,kpx_group_1,,60-80%,177,177,2667194.341,177,0.6976340084222641,6.0,177
target+month+ratio_bin,kpx_group_1,,80-90%,78,78,1427962.043,78,0.8475558184947769,6.0,78
target+month+ratio_bin,kpx_group_1,,90-100%,18,18,361116.127,18,0.9287966229423869,6.0,18
target+month+ratio_bin,kpx_group_1,,<1%,476,476,16965.263,0,0.0016500605936819173,6.0,476
target+month+ratio_bin,kpx_group_1,,1-5%,345,345,202643.31,0,0.027193144122383252,7.0,345
target+month+ratio_bin,kpx_group_1,,10-30%,356,356,1443177.285,356,0.18767911009675406,7.0,356
target+month+ratio_bin,kpx_group_1,,30-60%,366,366,3532438.3,366,0.4468273502327464,7.0,366
target+month+ratio_bin,kpx_group_1,,5-10%,183,183,287180.463,0,0.0726524142380085,7.0,183
target+month+ratio_bin,kpx_group_1,,60-80%,314,314,4741529.373,314,0.6990931488853503,7.0,314
target+month+ratio_bin,kpx_group_1,,80-90%,86,86,1583093.869,86,0.85222538167528,7.0,86
target+month+ratio_bin,kpx_group_1,,90-100%,33,33,664133.748,33,0.9317252356902357,7.0,33
target+month+ratio_bin,kpx_group_1,,<1%,529,529,16386.733,0,0.0014341116187075544,7.0,529
target+month+ratio_bin,kpx_group_1,,,0,20,0.0,0,,7.0,0
target+month+ratio_bin,kpx_group_1,,1-5%,400,400,230152.242,0,0.026637990972222223,8.0,400
target+month+ratio_bin,kpx_group_1,,10-30%,426,426,1718136.377,426,0.18672148072074424,8.0,426
target+month+ratio_bin,kpx_group_1,,30-60%,387,387,3778731.407,387,0.4520446223322806,8.0,387
target+month+ratio_bin,kpx_group_1,,5-10%,194,194,300240.694,0,0.07164965015273005,8.0,194
target+month+ratio_bin,kpx_group_1,,60-80%,181,181,2653989.476,181,0.6788391334151831,8.0,181
target+month+ratio_bin,kpx_group_1,,80-90%,7,7,126162.126,7,0.8344055952380953,8.0,7
target+month+ratio_bin,kpx_group_1,,90-100%,2,2,41610.505000000005,2,0.9632061342592593,8.0,2
target+month+ratio_bin,kpx_group_1,,<1%,635,635,24283.619,0,0.0017704592446777488,8.0,635
target+month+ratio_bin,kpx_group_1,,1-5%,351,351,215486.585,0,0.028422309934578456,9.0,351
target+month+ratio_bin,kpx_group_1,,10-30%,590,590,2350581.347,590,0.18444611950721906,9.0,590
target+month+ratio_bin,kpx_group_1,,30-60%,224,224,2043166.918,224,0.4222815224041005,9.0,224
target+month+ratio_bin,kpx_group_1,,5-10%,246,246,393253.267,0,0.07400882019722975,9.0,246
target+month+ratio_bin,kpx_group_1,,60-80%,66,66,1003757.622,66,0.7040948526936026,9.0,66
target+month+ratio_bin,kpx_group_1,,80-90%,37,37,671972.78,37,0.8408067817817818,9.0,37
target+month+ratio_bin,kpx_group_1,,90-100%,9,9,181642.8,9,0.9343765432098766,9.0,9
target+month+ratio_bin,kpx_group_1,,<1%,637,637,17847.517,0,0.001297133336240479,9.0,637
target+month+ratio_bin,kpx_group_1,,1-5%,301,301,179994.007,0,0.027684571028669867,10.0,301
target+month+ratio_bin,kpx_group_1,,10-30%,434,434,1712973.034,434,0.18272881827103601,10.0,434
target+month+ratio_bin,kpx_group_1,,30-60%,347,347,3318296.773,347,0.4427229123972676,10.0,347
target+month+ratio_bin,kpx_group_1,,5-10%,270,270,419894.401,0,0.07199835408093277,10.0,270
target+month+ratio_bin,kpx_group_1,,60-80%,170,170,2487084.632,170,0.6773106296296296,10.0,170
target+month+ratio_bin,kpx_group_1,,80-90%,53,53,983075.306,53,0.8587310499650593,10.0,53
target+month+ratio_bin,kpx_group_1,,90-100%,62,62,1268491.264,62,0.9472007646356033,10.0,62
target+month+ratio_bin,kpx_group_1,,<1%,513,513,16777.240999999998,0,0.0015140821059851275,10.0,513
target+month+ratio_bin,kpx_group_1,,,0,82,0.0,0,,10.0,0
target+month+ratio_bin,kpx_group_1,,1-5%,233,233,142172.843,0,0.02824925349705929,11.0,233
target+month+ratio_bin,kpx_group_1,,10-30%,334,334,1369458.569,334,0.18982293316145485,11.0,334
target+month+ratio_bin,kpx_group_1,,30-60%,396,396,3852479.056,396,0.4503927066965956,11.0,396
target+month+ratio_bin,kpx_group_1,,5-10%,187,187,294195.09,0,0.07283498960190136,11.0,187
target+month+ratio_bin,kpx_group_1,,60-80%,339,339,5138557.517,339,0.7017586470282967,11.0,339
target+month+ratio_bin,kpx_group_1,,80-90%,204,204,3748431.097,204,0.850678807416485,11.0,204
target+month+ratio_bin,kpx_group_1,,90-100%,148,148,3028035.662,148,0.9472083527277277,11.0,148
target+month+ratio_bin,kpx_group_1,,<1%,319,319,14014.784,0,0.0020339579705096946,11.0,319
target+month+ratio_bin,kpx_group_1,,1-5%,86,86,56738.973,0,0.03054423611111111,12.0,86
target+month+ratio_bin,kpx_group_1,,10-30%,329,329,1404502.801,329,0.19763914232241359,12.0,329
target+month+ratio_bin,kpx_group_1,,30-60%,538,538,5440736.274,538,0.4681894769723255,12.0,538
target+month+ratio_bin,kpx_group_1,,5-10%,76,76,119480.143,0,0.0727827381822612,12.0,76
target+month+ratio_bin,kpx_group_1,,60-80%,607,607,9090253.83,607,0.693319744188175,12.0,607
target+month+ratio_bin,kpx_group_1,,80-90%,259,259,4762443.094,259,0.8512875543400543,12.0,259
target+month+ratio_bin,kpx_group_1,,90-100%,218,218,4432032.255,218,0.9412232957441385,12.0,218
target+month+ratio_bin,kpx_group_1,,<1%,119,119,3688.104,0,0.0014348366013071897,12.0,119
target+month+ratio_bin,kpx_group_2,,1-5%,141,141,83929.71,0,0.02755769306540583,1.0,141
target+month+ratio_bin,kpx_group_2,,10-30%,338,338,1375822.361,338,0.18844816472167433,1.0,338
target+month+ratio_bin,kpx_group_2,,30-60%,418,418,4070062.806,418,0.45078668328017013,1.0,418
target+month+ratio_bin,kpx_group_2,,5-10%,129,129,202961.494,0,0.0728400423485501,1.0,129
target+month+ratio_bin,kpx_group_2,,60-80%,407,407,6224162.148,407,0.7079991523341524,1.0,407
target+month+ratio_bin,kpx_group_2,,80-90%,264,264,4871394.068,264,0.8542708452581369,1.0,264
target+month+ratio_bin,kpx_group_2,,90-100%,235,235,4782908.468,235,0.9422593514578408,1.0,235
target+month+ratio_bin,kpx_group_2,,<1%,300,300,5958.813,0,0.0009195699074074074,1.0,300
target+month+ratio_bin,kpx_group_2,,1-5%,177,177,106217.429,0,0.027782336524377484,2.0,177
target+month+ratio_bin,kpx_group_2,,10-30%,231,231,938745.718,231,0.18814047578964246,2.0,231
target+month+ratio_bin,kpx_group_2,,30-60%,310,310,3127686.809,310,0.4670977910692951,2.0,310
target+month+ratio_bin,kpx_group_2,,5-10%,118,118,182987.869,0,0.07179373391399875,2.0,118
target+month+ratio_bin,kpx_group_2,,60-80%,312,312,4685542.482,312,0.6952668687678063,2.0,312
target+month+ratio_bin,kpx_group_2,,80-90%,120,120,2181319.009,120,0.8415582596450617,2.0,120
target+month+ratio_bin,kpx_group_2,,90-100%,148,148,3007772.7770000002,148,0.9408698626751751,2.0,148
target+month+ratio_bin,kpx_group_2,,<1%,624,624,9386.57,0,0.0006964157466761634,2.0,624
target+month+ratio_bin,kpx_group_2,,1-5%,212,212,125120.777,0,0.0273237196453529,3.0,212
target+month+ratio_bin,kpx_group_2,,10-30%,442,442,1809962.972,442,0.18958050234623763,3.0,442
target+month+ratio_bin,kpx_group_2,,30-60%,417,417,4084742.908,417,0.4534975250910383,3.0,417
target+month+ratio_bin,kpx_group_2,,5-10%,175,175,277085.172,0,0.07330295555555555,3.0,175
target+month+ratio_bin,kpx_group_2,,60-80%,304,304,4667318.91,304,0.710788089364035,3.0,304
target+month+ratio_bin,kpx_group_2,,80-90%,183,183,3366791.746,183,0.8517485696215342,3.0,183
target+month+ratio_bin,kpx_group_2,,90-100%,138,138,2787932.778,138,0.93529682568438,3.0,138
target+month+ratio_bin,kpx_group_2,,<1%,359,359,11093.234,0,0.001430572836067265,3.0,359
target+month+ratio_bin,kpx_group_2,,,0,2,0.0,0,,3.0,0
target+month+ratio_bin,kpx_group_2,,1-5%,261,261,154828.117,0,0.027463480381722718,4.0,261
target+month+ratio_bin,kpx_group_2,,10-30%,476,476,1951311.411,476,0.18978674632352943,4.0,476
target+month+ratio_bin,kpx_group_2,,30-60%,415,415,3990327.426,415,0.44515031526104415,4.0,415
target+month+ratio_bin,kpx_group_2,,5-10%,185,185,295091.814,0,0.0738468003003003,4.0,185
target+month+ratio_bin,kpx_group_2,,60-80%,241,241,3693774.821,241,0.7095771517212233,4.0,241
target+month+ratio_bin,kpx_group_2,,80-90%,143,143,2660845.009,143,0.8614494331131831,4.0,143
target+month+ratio_bin,kpx_group_2,,90-100%,171,171,3465358.17,171,0.93820613222872,4.0,171
target+month+ratio_bin,kpx_group_2,,<1%,268,268,10254.365,0,0.0017714146282476505,4.0,268
target+month+ratio_bin,kpx_group_2,,1-5%,253,253,157344.701,0,0.028792398806909678,5.0,253
target+month+ratio_bin,kpx_group_2,,10-30%,483,483,1956691.709,483,0.18755192364465914,5.0,483
target+month+ratio_bin,kpx_group_2,,30-60%,458,458,4417164.128,458,0.4465029241468543,5.0,458
target+month+ratio_bin,kpx_group_2,,5-10%,208,208,341981.363,0,0.07611764667913105,5.0,208
target+month+ratio_bin,kpx_group_2,,60-80%,333,333,5073878.278,333,0.7054107271160048,5.0,333
target+month+ratio_bin,kpx_group_2,,80-90%,190,190,3489844.29,190,0.85035192251462,5.0,190
target+month+ratio_bin,kpx_group_2,,90-100%,38,38,754962.38,38,0.9197884746588694,5.0,38
target+month+ratio_bin,kpx_group_2,,<1%,269,269,11237.857,0,0.001934093521960622,5.0,269
target+month+ratio_bin,kpx_group_2,,1-5%,336,336,189525.217,0,0.026114034529320988,6.0,336
