source,grid_id,target,wind_feature,spearman_corr,pearson_corr,n
gfs,2,kpx_group_2,wind850_speed,0.7771964203028888,0.7547731839378783,26201
gfs,7,kpx_group_3,wind850_speed,0.7659577227410312,0.7258945618182393,17538
gfs,2,kpx_group_3,wind850_speed,0.7644577216015925,0.7336496496219822,17538
gfs,8,kpx_group_3,wind850_speed,0.7603791742879361,0.7311750403415288,17538
gfs,2,kpx_group_1,wind850_speed,0.7554989404967911,0.7264230641684153,26200
gfs,8,kpx_group_1,wind850_speed,0.7544943915994263,0.7298913820888148,26200
gfs,2,kpx_group_3,wind100_speed,0.7490288085246858,0.6639281993056291,17538
gfs,2,kpx_group_3,wind80_speed,0.7453325915104193,0.6601523850887409,17538
gfs,5,kpx_group_3,wind100_speed,0.7426667852682791,0.6250775232373007,17538
gfs,5,kpx_group_3,wind80_speed,0.7416036772960454,0.6219848664352168,17538
gfs,2,kpx_group_2,wind100_speed,0.7264601133850215,0.6688869752243398,26201
gfs,5,kpx_group_2,wind100_speed,0.7236279315963797,0.628410116677414,26201
gfs,2,kpx_group_2,wind80_speed,0.7228013502741993,0.665186851959528,26201
gfs,5,kpx_group_3,wind10_speed,0.7221186121947312,0.623837022034001,17538
gfs,5,kpx_group_2,wind80_speed,0.721533979516898,0.6247585574109601,26201
gfs,2,kpx_group_3,pblwind_speed,0.7180703883363746,0.6096131870966425,17538
gfs,2,kpx_group_1,wind100_speed,0.7159601391536781,0.6579704984016982,26200
gfs,2,kpx_group_1,wind80_speed,0.7134681820107772,0.6551629708110696,26200
gfs,5,kpx_group_1,wind100_speed,0.7079339600774949,0.6178367787580294,26200
gfs,5,kpx_group_1,wind80_speed,0.7067079375488153,0.6149551963503422,26200
gfs,6,kpx_group_2,wind850_speed,0.6989172404359615,0.6791390517076268,26201
gfs,5,kpx_group_2,wind10_speed,0.6984666739130287,0.6257219046272353,26201
gfs,5,kpx_group_1,wind10_speed,0.6890976238459136,0.6193957759904277,26200
gfs,2,kpx_group_1,pblwind_speed,0.6803541975152831,0.5932491174012452,26200
