turbine,group,source,grid_id,distance_km_approx,bearing_proxy_dx_km,bearing_proxy_dy_km
UNISON_04,3,ldaps,16,1.2527405425486546,-0.20900000000006003,1.2351833333335875
VESTAS_08,2,ldaps,11,1.295450382145129,0.23955555555517094,1.2731083333332691
UNISON_04,3,ldaps,11,1.308853890603224,1.2606000000012045,-0.3521166666662623
UNISON_02,3,ldaps,7,1.3483615596796112,-0.6951999999980671,-1.1553249999997064
VESTAS_03,1,ldaps,10,1.3591446136249916,0.5913111111096896,1.2237749999996126
VESTAS_08,2,ldaps,7,1.3597123657603378,-1.344444444444889,-0.2031916666668394
VESTAS_07,2,ldaps,5,1.412633592545098,1.4018888888876972,-0.17390000000025196
VESTAS_07,2,ldaps,11,1.4261083565310875,-0.0677111111110662,1.4244999999999663
VESTAS_05,1,ldaps,2,1.435198875023425,-0.6487555555575,-1.280200000000697
UNISON_01,3,ldaps,7,1.507645010737635,-1.3999333333329105,-0.5596250000004375
VESTAS_06,1,ldaps,11,1.5558350615948577,-0.3050666666667894,1.5256333333329763
UNISON_03,3,ldaps,16,1.5700902990095282,-0.36715555555565516,1.526558333333007
UNISON_05,3,ldaps,11,1.5928411003410625,1.4236444444450171,-0.7144083333336511
VESTAS_04,1,ldaps,1,1.6055893374009012,0.5915555555543506,-1.492641666666266
VESTAS_12,2,ldaps,6,1.614431933126126,0.5607555555545787,-1.5139166666669723
UNISON_05,3,gfs,5,2.9145154384446017,-2.061155555555615,2.060591666666191
UNISON_04,3,gfs,5,3.2889860575780943,-2.2241999999994277,2.42288333333358
UNISON_03,3,gfs,5,3.6114839461295567,-2.382355555555023,2.7142583333329995
VESTAS_12,2,gfs,5,4.005526428993182,-2.871244444444301,2.7928833333332435
UNISON_02,3,gfs,5,4.040331323124311,-2.5959999999986394,3.0959750000002444
VESTAS_11,2,gfs,5,4.347876999479284,-2.9059555555561474,3.2341083333329053
VESTAS_10,2,gfs,5,4.483914844795381,-2.831155555554915,3.4770750000002764
VESTAS_09,2,gfs,5,4.784109066560455,-2.9959111111113543,3.7299083333328014
UNISON_01,3,gfs,5,4.952101053431782,-3.3007333333334827,3.6916749999995133
VESTAS_08,2,gfs,5,5.188332350823829,-3.2452444444454613,4.048108333333111
VESTAS_07,2,gfs,5,5.500557739408838,-3.5525111111116985,4.199499999999809
VESTAS_01,1,gfs,5,5.62295047012838,-4.348666666667214,3.5646416666664322
VESTAS_06,1,gfs,5,5.73223659830002,-3.7898666666674217,4.300633333332819
VESTAS_02,1,gfs,5,5.86056557652323,-4.440333333332546,3.8248749999999916
VESTAS_03,1,gfs,5,6.001251331104432,-4.42468888888925,4.05427499999972
VESTAS_05,1,gfs,5,6.0855518755293305,-4.019155555556836,4.569499999999472
VESTAS_04,1,gfs,5,6.168237524460929,-4.3100444444457935,4.412558333333379
VESTAS_02,1,gfs,4,17.971409577718077,17.559666666667454,3.8248749999999916
VESTAS_01,1,gfs,4,18.007671661160405,17.651333333332786,3.5646416666664322
VESTAS_03,1,gfs,4,18.036870749327772,17.57531111111075,4.05427499999972
VESTAS_04,1,gfs,4,18.231982848899158,17.689955555554207,4.412558333333379
VESTAS_05,1,gfs,4,18.552387910596785,17.980844444443164,4.569499999999472
VESTAS_06,1,gfs,4,18.711077015648343,18.21013333333258,4.300633333332819
VESTAS_07,2,gfs,4,18.919451539504408,18.4474888888883,4.199499999999809
UNISON_01,3,gfs,4,19.06019512430885,18.699266666666517,3.6916749999995133
VESTAS_08,2,gfs,4,19.186662998734427,18.75475555555454,4.048108333333111
VESTAS_12,2,gfs,4,19.3315670967931,19.1287555555557,2.7928833333332435
VESTAS_11,2,gfs,4,19.366000876746096,19.094044444443853,3.2341083333329053
VESTAS_09,2,gfs,4,19.366662352399455,19.004088888888646,3.7299083333328014
VESTAS_10,2,gfs,4,19.481649003381623,19.168844444445085,3.4770750000002764
UNISON_02,3,gfs,4,19.649434526232028,19.40400000000136,3.0959750000002444
UNISON_03,3,gfs,4,19.804524024796216,19.617644444444977,2.7142583333329995
UNISON_04,3,gfs,4,19.92367007574077,19.775800000000572,2.42288333333358
UNISON_05,3,gfs,4,20.045038183961758,19.938844444444385,2.060591666666191
VESTAS_05,1,gfs,2,23.526351005410675,-4.019155555556836,-23.180500000000528
VESTAS_04,1,gfs,2,23.732102027805404,-4.3100444444457935,-23.33744166666662
VESTAS_06,1,gfs,2,23.753649959930762,-3.7898666666674217,-23.44936666666718
VESTAS_07,2,gfs,2,23.816934845705504,-3.5525111111116985,-23.55050000000019
VESTAS_08,2,gfs,2,23.923028238135267,-3.2452444444454613,-23.70189166666689
VESTAS_03,1,gfs,2,24.105295165981648,-4.42468888888925,-23.69572500000028
UNISON_05,3,gfs,6,24.1492286561161,-24.061155555555615,2.060591666666191
VESTAS_09,2,gfs,2,24.206203483007727,-2.9959111111113543,-24.0200916666672
UNISON_01,3,gfs,2,24.283694989507406,-3.3007333333334827,-24.058325000000487
VESTAS_02,1,gfs,2,24.33368378147315,-4.440333333332546,-23.92512500000001
UNISON_04,3,gfs,6,24.34506580987034,-24.224199999999428,2.42288333333358
VESTAS_10,2,gfs,2,24.437477976161144,-2.831155555554915,-24.272924999999724
UNISON_03,3,gfs,6,24.53296681483046,-24.382355555555023,2.7142583333329995
VESTAS_01,1,gfs,2,24.573206129634976,-4.348666666667214,-24.185358333333568
VESTAS_11,2,gfs,2,24.687517532198832,-2.9059555555561474,-24.515891666667095
UNISON_02,3,gfs,6,24.790084251582517,-24.59599999999864,3.0959750000002444
VESTAS_12,2,gfs,6,25.027564754264688,-24.8712444444443,2.7928833333332435
